,0
Calm_Direct_FinalMax,0.7469342085451574
Calm_Avert_FinalMax,0.797838085538089
Angry_Direct_FinalMax,0.7396579457275805
Angry_Avert_FinalMax,0.8328959757001861
Fix_a_d_BG,0.08942605128286256
Fix_a_d_EY,0.01962180327336691
Fix_a_d_MO,0.6649416344244229
Fix_a_a_BG,0.10182966225202313
Fix_a_a_EY,0.005558852705367023
Fix_a_a_MO,0.9609358627340346
Fix_c_d_BG,0.2367725977890533
Fix_c_d_EY,0.10332643440364883
Fix_c_d_MO,0.44378356043443223
Fix_c_a_BG,0.3263964860674881
Fix_c_a_EY,0.05689968930248565
Fix_c_a_MO,0.6350979565453932
Dwell_a_d_BG,0.022169815252800238
Dwell_a_d_EY,0.012027108057380392
Dwell_a_d_MO,0.4388256287808537
Dwell_a_a_BG,0.04383676735011786
Dwell_a_a_EY,0.00615124009637674
Dwell_a_a_MO,0.7348539306680174
Dwell_c_d_BG,0.06251618283508999
Dwell_c_d_EY,0.15353179223658284
Dwell_c_d_MO,0.34278751195862256
Dwell_c_a_BG,0.2212665095617187
Dwell_c_a_EY,0.034488115201571315
Dwell_c_a_MO,0.42265585731495287
pctFirstFixa_aEY,0.006916753734539427
pctFirstFixa_aMO,0.2367725977890533
pctFirstFixa_aBG,0.1184144623929442
pctFirstFixc_aEY,0.41576926761089983
pctFirstFixc_aMO,0.5172148178712315
pctFirstFixc_aBG,0.10534662026931088
pctFirstFixa_dEY,0.04263088581752929
pctFirstFixa_dMO,0.3695181114645612
pctFirstFixa_dBG,0.022275559841202004
pctFirstFixc_dEY,0.1921693783157681
pctFirstFixc_dMO,0.14149419801564417
pctFirstFixc_dBG,0.09426159815615144
meanRT-a_a,0.11411827296676173
meanRT-c_a,0.06251618283508999
meanRT-a_d,0.13718477027305934
meanRT-c_d,0.12952200105802134
msTotal.a_a,0.23729572458929377
msTotal.a_c,0.26851919280568226
msTotal.d_a,0.8976197770683635
msTotal.d_c,0.7816490229283815
pctOffscreen.a_a,0.9951851115027708
pctOffscreen.a_c,0.8079226198216042
pctOffscreen.d_a,0.484278432668114
pctOffscreen.d_c,0.7332585075601853
pctOnBackground.a_a,0.26101359247378125
pctOnBackground.a_c,0.39040693303507396
pctOnBackground.d_a,0.5635223484371189
pctOnBackground.d_c,0.39908754190596285
pctSamplesOffscreenL,0.8313706677698066
pctSamplesOffscreenR,0.8433190891582416
