Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED
Calm_Direct_FinalMax,-0.2729769915876223,0.06338591278892013,0.27097707747445315,False,-0.11342959778847622,0.44776322800529345,0.9326887523006654,False
Calm_Avert_FinalMax,-0.23833415419152515,0.10668320462860864,0.27263485627311096,False,-0.06622516387648733,0.6582885219151269,0.9326887523006654,False
Angry_Direct_FinalMax,-0.26164920090233923,0.07563944174984424,0.27263485627311096,False,-0.1400119509416467,0.34790475189358566,0.9326887523006654,False
Angry_Avert_FinalMax,-0.24218960636611053,0.10096789342915216,0.27263485627311096,False,-0.07280288450053585,0.626741898291454,0.9326887523006654,False
Dwell_a_d_BG,0.33643606149023075,0.020764617859643543,0.1848685919361817,False,0.16906252822327,0.2559461637559783,0.9326887523006654,False
Dwell_a_d_EY,-0.2461237735914679,0.0953818488786273,0.27263485627311096,False,-0.25118255206763807,0.08855398800625483,0.9326887523006654,False
Dwell_a_d_MO,0.19676056283843843,0.18497210925175153,0.38675986479911684,False,0.15451968128009314,0.29971118320917267,0.9326887523006654,False
Dwell_a_a_BG,0.36103629734540305,0.01265915621927422,0.1848685919361817,False,0.17949906599741253,0.2273236057249054,0.9326887523006654,False
Dwell_a_a_EY,-0.23905275615819768,0.10559958706373931,0.27263485627311096,False,-0.2657728826113799,0.07097914342051644,0.9326887523006654,False
Dwell_a_a_MO,0.12600257032017845,0.39870283437793597,0.6324251855650018,False,0.012846326784015712,0.9317033641280393,0.9924233159116074,False
Dwell_c_d_BG,0.332846173632207,0.02225158585347658,0.1848685919361817,False,0.10682864505021428,0.4747893592852978,0.9326887523006654,False
Dwell_c_d_EY,-0.1621971729618439,0.27604033936143435,0.47029094854170295,False,-0.15857084362241478,0.28706269119785316,0.9326887523006654,False
Dwell_c_d_MO,0.16809613537453263,0.2587136565376407,0.47021212459227213,False,0.09150310864302735,0.5407315641866464,0.9326887523006654,False
Dwell_c_a_BG,0.32740010120016194,0.024677569714345166,0.1848685919361817,False,0.14144398765510519,0.34294668813456153,0.9326887523006654,False
Dwell_c_a_EY,-0.1656622830557387,0.265772070421719,0.47021212459227213,False,-0.223901223241849,0.130295654860816,0.9326887523006654,False
Dwell_c_a_MO,0.01626228276494268,0.9136041833864659,0.9681981197718371,False,0.040876267502662295,0.7850057748092572,0.9572935514988758,False
pctFirstFixa_aEY,-0.27158627498049454,0.06479886635258662,0.27097707747445315,False,-0.06047721659502511,0.6863477294971819,0.9326887523006654,False
pctFirstFixa_aMO,0.09417823490314467,0.5289108565333285,0.657564848663057,False,-0.010324345061433648,0.9450883353328632,0.9924233159116074,False
pctFirstFixa_aBG,0.21973181705212624,0.13779659896427077,0.3336128185450766,False,0.19283268916810323,0.19407312388643438,0.9326887523006654,False
pctFirstFixc_aEY,-0.10856458661615846,0.4675992569089509,0.657564848663057,False,0.08432141435280739,0.57308263557201,0.9326887523006654,False
