Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED,significant_without_fdr_ARI,significant_without_fdr_SCARED
Calm_Direct_FinalMax,-0.2729769915876222,0.06338591278892043,0.2073563723282766,False,-0.11342959778847624,0.44776322800529295,0.9151303059962408,False,True,False
Calm_Avert_FinalMax,-0.2383341541915251,0.10668320462860857,0.21336640925721714,False,-0.06622516387648733,0.6582885219151295,0.9151303059962408,False,False,False
Angry_Direct_FinalMax,-0.2616492009023391,0.0756394417498447,0.21336640925721714,False,-0.1400119509416467,0.3479047518935857,0.8166292796725237,False,True,False
Angry_Avert_FinalMax,-0.24218960636611045,0.1009678934291526,0.21336640925721714,False,-0.07280288450053583,0.6267418982914571,0.9151303059962408,False,False,False
Dwell_a_d_BG,0.33643606149023064,0.020764617859643612,0.15003827751342305,False,0.16906252822327011,0.2559461637559778,0.8166292796725237,False,True,False
Dwell_a_d_EY,-0.24612377359146784,0.09538184887862736,0.21336640925721714,False,-0.251182552067638,0.08855398800625507,0.8166292796725237,False,True,True
Dwell_a_d_MO,0.1967605628384384,0.18497210925175264,0.3288393053364491,False,0.15451968128009316,0.299711183209173,0.8166292796725237,False,False,False
Dwell_a_a_BG,0.361036297345403,0.01265915621927429,0.15003827751342305,False,0.17949906599741255,0.22732360572490584,0.8166292796725237,False,True,False
Dwell_a_a_EY,-0.23905275615819763,0.10559958706373908,0.21336640925721714,False,-0.2657728826113799,0.07097914342051638,0.8166292796725237,False,False,True
Dwell_a_a_MO,0.12600257032017848,0.39870283437793763,0.5103396280037602,False,0.012846326784015724,0.9317033641280372,0.9924233159116108,False,False,False
Dwell_c_d_BG,0.332846173632207,0.022251585853476592,0.15003827751342305,False,0.1068286450502143,0.47478935928529886,0.9151303059962408,False,True,False
Dwell_c_d_EY,-0.1621971729618439,0.27604033936143424,0.384056124328952,False,-0.15857084362241475,0.287062691197855,0.8166292796725237,False,False,False
Dwell_c_d_MO,0.16809613537453263,0.2587136565376394,0.384056124328952,False,0.09150310864302731,0.5407315641866468,0.9151303059962408,False,False,False
Dwell_c_a_BG,0.32740010120016183,0.024677569714345197,0.15003827751342305,False,0.1414439876551052,0.34294668813456236,0.8166292796725237,False,True,False
Dwell_c_a_EY,-0.16566228305573877,0.2657720704217195,0.384056124328952,False,-0.22390122324184897,0.13029565486081618,0.8166292796725237,False,False,False
Dwell_c_a_MO,0.016262282764942702,0.9136041833864634,0.9430752860763494,False,0.04087626750266227,0.7850057748092579,0.9924233159116108,False,False,False
pctFirstFixa_aEY,-0.2715862749804944,0.06479886635258644,0.2073563723282766,False,-0.06047721659502509,0.6863477294971806,0.9151303059962408,False,True,False
pctFirstFixa_aMO,0.09417823490314466,0.5289108565333273,0.5836257727264301,False,-0.010324345061433657,0.9450883353328661,0.9924233159116108,False,False,False
pctFirstFixa_aBG,0.21973181705212635,0.13779659896427127,0.2593818333445106,False,0.19283268916810317,0.19407312388643497,0.8166292796725237,False,False,False
pctFirstFixc_aEY,-0.10856458661615848,0.467599256908952,0.5541917118920913,False,0.08432141435280739,0.5730826355720109,0.9151303059962408,False,False,False
pctFirstFixc_aMO,0.0410681537683716,0.78402065357901,0.836288697150944,False,0.06694650649806248,0.654798852342391,0.9151303059962408,False,False,False
pctFirstFixc_aBG,0.3034929674733102,0.03809696577536364,0.15238786310145455,False,0.1373392684094386,0.3572753098567291,0.8166292796725237,False,True,False
pctFirstFixa_dEY,-0.2509716471143933,0.08883082625612626,0.21336640925721714,False,-0.0760829575143258,0.6112493901571204,0.9151303059962408,False,True,False
pctFirstFixa_dMO,0.17271493718241324,0.24566654025417858,0.384056124328952,False,0.17499669472662344,0.23938852376792916,0.8166292796725237,False,False,False
pctFirstFixa_dBG,0.3203712676001354,0.028132177033766824,0.15003827751342305,False,0.19048086876706552,0.19967199786681944,0.8166292796725237,False,True,False
pctFirstFixc_dEY,-0.305686034211009,0.03665792228918688,0.15238786310145455,False,-0.09518959992375084,0.5244752387399874,0.9151303059962408,False,True,False
pctFirstFixc_dMO,-0.009936093595843128,0.947150334559407,0.947150334559407,False,-0.03081439534772489,0.8370931789711429,0.9924233159116108,False,False,False
pctFirstFixc_dBG,0.3297909661556698,0.023586595771048914,0.15003827751342305,False,0.14112824194416926,0.34403611009093965,0.8166292796725237,False,True,False
meanRT-a_a,0.11006996205097765,0.46141166004954953,0.5541917118920913,False,-0.005364248250291087,0.9714534858569841,0.9924233159116108,False,False,False
meanRT-c_a,0.13091289902654965,0.38042713438202513,0.5072361791760335,False,-0.013878706645121605,0.9262293605491423,0.9924233159116108,False,False,False
meanRT-a_d,0.16595900053791404,0.2649047708771754,0.384056124328952,False,0.001423481137210145,0.9924233159116108,0.9924233159116108,False,False,False
meanRT-c_d,0.10370258937971293,0.48788368795986986,0.5575813576684227,False,0.011087399678809236,0.941036808894221,0.9924233159116108,False,False,False
