,0
Calm_Direct_FinalMax,-0.07443966763250273
Calm_Avert_FinalMax,-0.05882362388331847
Angry_Direct_FinalMax,-0.07620332360538613
Angry_Avert_FinalMax,-0.047562707806746415
Fix_a_d_BG,0.2753440799921688
Fix_a_d_EY,-0.34719250002956425
Fix_a_d_MO,0.09307090769653033
Fix_a_a_BG,0.268398680652532
Fix_a_a_EY,-0.3972280973738634
Fix_a_a_MO,0.012664415129674627
Fix_c_d_BG,0.21324433920623329
Fix_c_d_EY,-0.26754171353204936
Fix_c_d_MO,0.1481650044104081
Fix_c_a_BG,0.18377871473951574
Fix_c_a_EY,-0.29838286120718244
Fix_c_a_MO,0.10041978928948003
Dwell_a_d_BG,0.342018812167569
Dwell_a_d_EY,-0.3674234730416867
Dwell_a_d_MO,0.14957416305501317
Dwell_a_a_BG,0.3104167817685916
Dwell_a_a_EY,-0.3935845053589482
Dwell_a_a_MO,0.07744057630093865
Dwell_c_d_BG,0.29384765610889313
Dwell_c_d_EY,-0.24440272494191292
Dwell_c_d_MO,0.17804309103936608
Dwell_c_a_BG,0.2183915243240931
Dwell_c_a_EY,-0.3221751158068266
Dwell_c_a_MO,0.15330600264472571
pctFirstFixa_aEY,-0.38903735968126174
pctFirstFixa_aMO,0.2132547229041412
pctFirstFixa_aBG,0.2597555089361603
pctFirstFixc_aEY,-0.1553089696906108
pctFirstFixc_aMO,0.12939275693018656
pctFirstFixc_aBG,0.26635997108888115
pctFirstFixa_dEY,-0.3117479701065106
pctFirstFixa_dMO,0.16926972572638205
pctFirstFixa_dBG,0.34177194440427017
pctFirstFixc_dEY,-0.2292011877068136
pctFirstFixc_dMO,0.2493694239663457
pctFirstFixc_dBG,0.2725417093361056
meanRT-a_a,-0.2618278989868325
meanRT-c_a,-0.293829363764352
meanRT-a_d,-0.2510678934445861
meanRT-c_d,-0.2546145641685776
msTotal.a_a,-0.21294161767125244
msTotal.a_c,-0.20193627327660604
msTotal.d_a,-0.0303534013596859
msTotal.d_c,-0.0651556123507765
pctOffscreen.a_a,0.001981351465399182
pctOffscreen.a_c,-0.056151565114086435
pctOffscreen.d_a,-0.13783495120438602
pctOffscreen.d_c,-0.0780799591886407
pctOnBackground.a_a,0.20435748144492208
pctOnBackground.a_c,0.16330813571505037
pctOnBackground.d_a,0.11790420461282573
pctOnBackground.d_c,0.16056561021833723
pctSamplesOffscreenL,-0.04797265864783098
pctSamplesOffscreenR,-0.04507334167439933
