,0
Calm_Direct_FinalMax,0.5334627252534706
Calm_Avert_FinalMax,0.53756268881264
Angry_Direct_FinalMax,0.5964697901598807
Angry_Avert_FinalMax,0.524845684953985
Fix_a_d_BG,0.019004989266243697
Fix_a_d_EY,0.04301189758521473
Fix_a_d_MO,0.7209680992539571
Fix_a_a_BG,0.009973616954019474
Fix_a_a_EY,0.05860649016899297
Fix_a_a_MO,0.6367803512381957
Fix_c_d_BG,0.028817022223635337
Fix_c_d_EY,0.25917362325262805
Fix_c_d_MO,0.7861675356973084
Fix_c_a_BG,0.00789219732326437
Fix_c_a_EY,0.24361533663769652
Fix_c_a_MO,0.8877687540487885
Dwell_a_d_BG,0.010623756105519513
Dwell_a_d_EY,0.007510118028403443
Dwell_a_d_MO,0.9772602447785063
Dwell_a_a_BG,0.006970844626214727
Dwell_a_a_EY,0.03156793153968699
Dwell_a_a_MO,0.4529755562311232
Dwell_c_d_BG,0.027930088575922912
Dwell_c_d_EY,0.20095422344125421
Dwell_c_d_MO,0.5993848093207449
Dwell_c_a_BG,0.006405291936571737
Dwell_c_a_EY,0.1098308578995139
Dwell_c_a_MO,0.7699510348127214
pctFirstFixa_aEY,0.1287998028104568
pctFirstFixa_aMO,0.13051839304887394
pctFirstFixa_aBG,0.09926675573562652
pctFirstFixc_aEY,0.19598834080258062
pctFirstFixc_aMO,0.8662601915643354
pctFirstFixc_aBG,0.001773122081713912
pctFirstFixa_dEY,0.08085213785716495
pctFirstFixa_dMO,0.9317404100274007
pctFirstFixa_dBG,0.012635158340965746
pctFirstFixc_dEY,0.11349533090011442
pctFirstFixc_dMO,0.6600959846760012
pctFirstFixc_dBG,0.0029702359503249363
meanRT-a_a,0.48253583396730276
meanRT-c_a,0.5959459625431373
meanRT-a_d,0.5967790908588585
meanRT-c_d,0.6487339632491126
msTotal.a_a,0.8333095842953936
msTotal.a_c,0.1847334689560591
msTotal.d_a,0.34785544286159226
msTotal.d_c,0.9017491835426608
pctOffscreen.a_a,0.04910615451454925
pctOffscreen.a_c,0.09881139409450694
pctOffscreen.d_a,0.1679751457286489
pctOffscreen.d_c,0.11376025232003921
pctOnBackground.a_a,0.9849561313921117
pctOnBackground.a_c,0.6768266514372288
pctOnBackground.d_a,0.6187910038949771
pctOnBackground.d_c,0.7425818174909251
pctSamplesOffscreenL,0.45457780405633175
pctSamplesOffscreenR,0.21564993237478833
