Feature_1,Feature_2,r,p_uncorrected,p_fdr,significant
Dwell_a_d_BG,Dwell_a_d_EY,-0.56349817376728,3.7226801028471336e-05,0.00010250858254216745,True
Dwell_a_d_BG,Dwell_a_a_BG,0.9590086380223656,2.796991839339759e-26,5.3142844947455425e-24,True
Dwell_a_d_BG,Dwell_a_a_EY,-0.5948862744437722,1.034794557084002e-05,3.2768494307660066e-05,True
Dwell_a_d_BG,Dwell_c_d_BG,0.946658790325588,9.196000384974926e-24,5.824133577150786e-22,True
Dwell_a_d_BG,Dwell_c_d_EY,-0.4847554724165124,0.0005542524419081539,0.0010637168077025176,True
Dwell_a_d_BG,Dwell_c_d_MO,-0.12481479836560685,0.40319905943187595,0.44149961253008185,False
Dwell_a_d_BG,Dwell_c_a_BG,0.9458436527595238,1.2825055850220035e-23,6.091901528854517e-22,True
Dwell_a_d_BG,Dwell_c_a_EY,-0.5145879452348258,0.00021518517437452115,0.0004858188445943946,True
Dwell_a_d_BG,pctFirstFixa_aEY,-0.5160690370285511,0.00020483935511611363,0.0004689093671332721,True
Dwell_a_d_BG,pctFirstFixa_aMO,-0.14851975836755957,0.31909372578677986,0.3630407658651987,False
Dwell_a_d_BG,pctFirstFixa_aBG,0.7406262123768681,2.662085411831311e-09,1.2644905706198729e-08,True
Dwell_a_d_BG,pctFirstFixc_aBG,0.7594852101081544,6.06352137188207e-10,3.1137001639394415e-09,True
Dwell_a_d_BG,pctFirstFixa_dEY,-0.5179142061456771,0.0001925823575252494,0.0004630343239540607,True
Dwell_a_d_BG,pctFirstFixa_dMO,-0.1903889459881623,0.1998931247776138,0.25319795805164413,False
Dwell_a_d_BG,pctFirstFixa_dBG,0.8862789519067331,1.2034103462530516e-16,1.7588305060621522e-15,True
Dwell_a_d_BG,pctFirstFixc_dEY,-0.3944364211217283,0.006078592347845251,0.010311897732951766,True
Dwell_a_d_BG,pctFirstFixc_dMO,-0.0787269047052794,0.5988822490061586,0.6321534850620564,False
Dwell_a_d_BG,pctFirstFixc_dBG,0.8450647572833697,8.054632929235827e-14,8.502112536415594e-13,True
Dwell_a_d_BG,meanRT-c_a,-0.07465590872795691,0.6179695399577407,0.6486973071379599,False
Dwell_a_d_EY,Dwell_a_a_BG,-0.5651039003275928,3.497641884936275e-05,9.772822913792533e-05,True
Dwell_a_d_EY,Dwell_a_a_EY,0.9388309708923825,1.8437771946060604e-22,7.00635333950303e-21,True
Dwell_a_d_EY,Dwell_c_d_BG,-0.5549648779206737,5.1575385014636235e-05,0.00013999033075401263,True
Dwell_a_d_EY,Dwell_c_d_EY,0.9001552855371378,7.482284969111621e-18,1.57959349347912e-16,True
Dwell_a_d_EY,Dwell_c_d_MO,-0.17137136143166373,0.2494149696907229,0.29804304554237326,False
Dwell_a_d_EY,Dwell_c_a_BG,-0.5169017896950447,0.00019922256594048028,0.0004630343239540607,True
Dwell_a_d_EY,Dwell_c_a_EY,0.9035234242911678,3.584913675725281e-18,8.514169979847543e-17,True
Dwell_a_d_EY,pctFirstFixa_aEY,0.6710655524190217,2.4424046765881293e-07,9.667851844828012e-07,True
Dwell_a_d_EY,pctFirstFixa_aMO,-0.18845979820777617,0.20457375035377418,0.2574106792530933,False
Dwell_a_d_EY,pctFirstFixa_aBG,-0.5705379411805187,2.82539587302025e-05,8.133715392027992e-05,True
Dwell_a_d_EY,pctFirstFixc_aBG,-0.5889692342855792,1.3308152185382454e-05,4.078304701972042e-05,True
Dwell_a_d_EY,pctFirstFixa_dEY,0.82345652717341,1.1948237854330765e-12,9.870283444881936e-12,True
Dwell_a_d_EY,pctFirstFixa_dMO,-0.19937458710370018,0.17908695955992726,0.23305837203004234,False
Dwell_a_d_EY,pctFirstFixa_dBG,-0.5758507221060895,2.284829829169503e-05,6.678733346803163e-05,True
Dwell_a_d_EY,pctFirstFixc_dEY,0.6454905813006225,9.642242220161199e-07,3.4566528713785434e-06,True
Dwell_a_d_EY,pctFirstFixc_dMO,-0.19581834975652748,0.18712690489477582,0.2418647070068531,False
Dwell_a_d_EY,pctFirstFixc_dBG,-0.6140795140584867,4.4162512964118095e-06,1.4983709755682927e-05,True
Dwell_a_d_EY,meanRT-c_a,0.4930611459695174,0.0004295911573956252,0.0008591823147912504,True
Dwell_a_a_BG,Dwell_a_a_EY,-0.5769275516767027,2.1875857481256613e-05,6.494395189748058e-05,True
Dwell_a_a_BG,Dwell_c_d_BG,0.9161317549797683,1.7568175525006197e-19,4.768504785358825e-18,True
Dwell_a_a_BG,Dwell_c_d_EY,-0.45347702566445114,0.001368583871830518,0.0024531220344131926,True
Dwell_a_a_BG,Dwell_c_d_MO,-0.1532799192054147,0.30365262274538685,0.35395090994861045,False
Dwell_a_a_BG,Dwell_c_a_BG,0.894782803341054,2.295988274094209e-17,3.9657979279809063e-16,True
Dwell_a_a_BG,Dwell_c_a_EY,-0.48784727646050247,0.0005044800763108257,0.000988156850505741,True
Dwell_a_a_BG,pctFirstFixa_aEY,-0.502690792880891,0.000317101951169209,0.0006548844643711925,True
Dwell_a_a_BG,pctFirstFixa_aMO,-0.18781460575106876,0.20615620686910696,0.2574114374492069,False
Dwell_a_a_BG,pctFirstFixa_aBG,0.7772057391758779,1.328788586700257e-10,7.650600953728751e-10,True
Dwell_a_a_BG,pctFirstFixc_aBG,0.7414284432799363,2.506213696851064e-09,1.2209759035941081e-08,True
Dwell_a_a_BG,pctFirstFixa_dEY,-0.5186267062256589,0.00018803034577170112,0.000458022637136195,True
Dwell_a_a_BG,pctFirstFixa_dMO,-0.2062490097027418,0.16425468549126002,0.21523027754027174,False
Dwell_a_a_BG,pctFirstFixa_dBG,0.8427482573779925,1.0962546137093206e-13,1.0962546137093206e-12,True
Dwell_a_a_BG,pctFirstFixc_dEY,-0.37214520749389507,0.009999399672797223,0.016665666121328707,True
Dwell_a_a_BG,pctFirstFixc_dMO,-0.12181719654434195,0.41467592141654,0.45021957182367206,False
Dwell_a_a_BG,pctFirstFixc_dBG,0.8334987115919097,3.5789217566478623e-13,3.3999756688154696e-12,True
Dwell_a_a_BG,meanRT-c_a,-0.05610562767824161,0.7079738690799737,0.7310599735064947,False
Dwell_a_a_EY,Dwell_c_d_BG,-0.5901657081860383,1.2653111158820054e-05,3.941132983894771e-05,True
Dwell_a_a_EY,Dwell_c_d_EY,0.8868394291640663,1.0833727576115197e-16,1.7153401995515728e-15,True
Dwell_a_a_EY,Dwell_c_d_MO,-0.16560553773970665,0.265938150823473,0.3138400537668315,False
Dwell_a_a_EY,Dwell_c_a_BG,-0.551304596246683,5.915588533583903e-05,0.00015830448188463965,True
Dwell_a_a_EY,Dwell_c_a_EY,0.899500384512485,8.606971812642674e-18,1.635324644402108e-16,True
Dwell_a_a_EY,pctFirstFixa_aEY,0.6843139492816301,1.1362771177141715e-07,4.593460688631757e-07,True
Dwell_a_a_EY,pctFirstFixa_aMO,-0.21168391447080345,0.15317714375836916,0.2049553331978179,False
Dwell_a_a_EY,pctFirstFixa_aBG,-0.6015923032827069,7.733447904371536e-06,2.5333708652251585e-05,True
Dwell_a_a_EY,pctFirstFixc_aBG,-0.6202505262811143,3.318215197140467e-06,1.167520161956831e-05,True
Dwell_a_a_EY,pctFirstFixa_dEY,0.7401891792573145,2.7507876410980533e-09,1.274755248313732e-08,True
Dwell_a_a_EY,pctFirstFixa_dMO,-0.2272149987535947,0.12455572433347122,0.17582329487550843,False
Dwell_a_a_EY,pctFirstFixa_dBG,-0.5870793186156549,1.4406733957398654e-05,4.344888018898007e-05,True
Dwell_a_a_EY,pctFirstFixc_dEY,0.5981434126204168,8.990387055180904e-06,2.8952093906514773e-05,True
Dwell_a_a_EY,pctFirstFixc_dMO,-0.21700253246182946,0.14287796004612596,0.19390580291974238,False
Dwell_a_a_EY,pctFirstFixc_dBG,-0.6045171260536173,6.796821682936682e-06,2.2656072276455608e-05,True
Dwell_a_a_EY,meanRT-c_a,0.46987782740106704,0.0008611204667443826,0.00160404792824934,True
Dwell_c_d_BG,Dwell_c_d_EY,-0.49568584768537377,0.00039582249001094967,0.0008000667351285153,True
Dwell_c_d_BG,Dwell_c_d_MO,-0.193291434156306,0.1929941191282943,0.2460998834521874,False
Dwell_c_d_BG,Dwell_c_a_BG,0.9479285295173879,5.41998218792673e-24,5.148983078530394e-22,True
Dwell_c_d_BG,Dwell_c_a_EY,-0.5109647467407535,0.00024252093366081755,0.0005217683347486647,True
Dwell_c_d_BG,pctFirstFixa_aEY,-0.47161025035013154,0.0008188846302947056,0.0015404760371880602,True
Dwell_c_d_BG,pctFirstFixa_aMO,-0.18626764453112118,0.20998535780393388,0.25907284404381453,False
Dwell_c_d_BG,pctFirstFixa_aBG,0.6563578755860672,5.465910533833218e-07,1.997159618131368e-06,True
Dwell_c_d_BG,pctFirstFixc_aBG,0.7560033781906582,8.047705605045034e-10,4.023852802522517e-09,True
Dwell_c_d_BG,pctFirstFixa_dEY,-0.5083025229728418,0.0002645710624363626,0.0005524011193726253,True
Dwell_c_d_BG,pctFirstFixa_dMO,-0.261577676672962,0.07572235117565666,0.11509797378699813,False
Dwell_c_d_BG,pctFirstFixa_dBG,0.824207718964674,1.0946854018644017e-12,9.454101197919832e-12,True
Dwell_c_d_BG,pctFirstFixc_dEY,-0.40366944757941947,0.004897118239053556,0.008458658776547051,True
Dwell_c_d_BG,pctFirstFixc_dMO,-0.14911849797193227,0.3171246960509854,0.3630407658651987,False
Dwell_c_d_BG,pctFirstFixc_dBG,0.862607810244872,6.5442737364143695e-15,8.289413399458202e-14,True
Dwell_c_d_BG,meanRT-c_a,-0.08368951678657692,0.5759710123651807,0.6148005188167659,False
Dwell_c_d_EY,Dwell_c_d_MO,-0.30172233706051116,0.039292390854999325,0.06326740900381246,True
Dwell_c_d_EY,Dwell_c_a_BG,-0.4514992338995105,0.0014450083928099797,0.0025659027535878147,True
Dwell_c_d_EY,Dwell_c_a_EY,0.9349556675847365,7.048881091831604e-22,2.2321456790800078e-20,True
Dwell_c_d_EY,pctFirstFixa_aEY,0.6197498452085345,3.396850829806663e-06,1.1734575593877562e-05,True
Dwell_c_d_EY,pctFirstFixa_aMO,-0.2485495877376954,0.09205858351196602,0.13664945990057456,False
Dwell_c_d_EY,pctFirstFixa_aBG,-0.5107286016129011,0.0002444072725927956,0.0005217683347486647,True
Dwell_c_d_EY,pctFirstFixc_aBG,-0.48944972387635544,0.0004803004156484085,0.0009505945726374751,True
Dwell_c_d_EY,pctFirstFixa_dEY,0.7868470895367823,5.483192842796925e-11,3.255645750410674e-10,True
