Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED
Calm_Direct_FinalMax,-0.057818054146755386,0.6962829257648592,0.8321797788530344,False,-0.04965560784837959,0.7375024146356501,0.8368759251669776,False
Calm_Avert_FinalMax,-0.06359455350360235,0.6676196817966232,0.8238710966851946,False,-0.029966130633832064,0.8397727352358225,0.853286568948579,False
Angry_Direct_FinalMax,-0.05072433756039642,0.732060803290336,0.8321797788530344,False,-0.06143876603474968,0.6782647013270962,0.8368759251669776,False
Angry_Avert_FinalMax,-0.051952621625580876,0.7258228630636283,0.8321797788530344,False,-0.027409363470406414,0.853286568948579,0.853286568948579,False
Fix_a_d_BG,0.3488729863557863,0.017489714349340255,0.08453361935514457,True,0.29228553607594177,0.04871248522178376,0.21733262637411216,False
Fix_a_d_EY,-0.19778220451616055,0.1876488157308016,0.41201789526381416,False,-0.2999465189228615,0.04284209907716319,0.20707014553962208,False
Fix_a_d_MO,-0.2183096348547121,0.14496565844188392,0.41201789526381416,False,-0.04523452099199277,0.7653176930082007,0.8368759251669776,False
Fix_a_a_BG,0.4797113914718106,0.0007424249934934243,0.015383164512975842,True,0.31597690192539074,0.0324175090316491,0.18802155238356474,False
Fix_a_a_EY,-0.18180992769936916,0.22655957112445752,0.4380151708406178,False,-0.3671403836695737,0.012077515538822015,0.17154155873534208,False
Fix_a_a_MO,-0.1306271887807027,0.38687920850542745,0.6411141169518513,False,-0.2054221146021147,0.1708259291100999,0.3796776341507773,False
Fix_c_d_BG,0.36930469134323907,0.011543347374684518,0.06695141477317021,True,0.27183468885884177,0.0676221368924807,0.2614722626509254,False
Fix_c_d_EY,-0.04806447552492004,0.7510909931177223,0.8321797788530344,False,-0.23086331122774736,0.12267662701078313,0.34481247926917286,False
Fix_c_d_MO,-0.2120609627501738,0.15711683814204697,0.41201789526381416,False,-0.14166276809350745,0.347674518900073,0.5761463456058353,False
Fix_c_a_BG,0.4312874691067878,0.0027672514427762723,0.026750097280170634,True,0.2283316520324568,0.12694934677929107,0.34481247926917286,False
Fix_c_a_EY,-0.13118626039801892,0.384832655021608,0.6411141169518513,False,-0.24604077048667952,0.09930088554040746,0.33161577175501905,False
Fix_c_a_MO,-0.19496010494044247,0.1941519934382801,0.41201789526381416,False,-0.17190661180461297,0.2533005021229074,0.5025110594449409,False
Dwell_a_d_BG,0.3991113937067679,0.0060031158577138815,0.04352258996842564,True,0.32684769671806463,0.026618517734794463,0.17154155873534208,False
Dwell_a_d_EY,-0.3193334343723483,0.030524981051745732,0.13276588689072855,False,-0.32829329970753934,0.025916987757879567,0.17154155873534208,False
Dwell_a_d_MO,-0.16698926102051315,0.26733628026211487,0.46986376530917157,False,0.03696568525179054,0.8073105919121486,0.8513457151073567,False
Dwell_a_a_BG,0.5292828971347339,0.00015554655931925365,0.009021700440516712,True,0.3641993570867082,0.012837176264971432,0.17154155873534208,False
Dwell_a_a_EY,-0.2584938588224689,0.08281911286289637,0.26686158589155495,False,-0.3560838472653026,0.015148325899235591,0.17154155873534208,False
Dwell_a_a_MO,-0.09749199679957825,0.5192098257440495,0.717004045075116,False,-0.16045276056065436,0.28677864123873137,0.5040351876317096,False
Dwell_c_d_BG,0.402332785876248,0.005573687899955255,0.04352258996842564,True,0.3389143654125174,0.021221296509085913,0.17154155873534208,False
Dwell_c_d_EY,-0.09860709292738659,0.5144190290802426,0.717004045075116,False,-0.19971178146057142,0.18329265096934078,0.3796776341507773,False
Dwell_c_d_MO,-0.20044422362034162,0.1816581993730904,0.41201789526381416,False,-0.09018943253033902,0.551123681615769,0.7991293383428649,False
Dwell_c_a_BG,0.459224036682147,0.0013261348718082624,0.015383164512975842,True,0.21768102107329038,0.1461556328318936,0.3600433453995524,False
Dwell_c_a_EY,-0.19509458670074772,0.19383851995916468,0.41201789526381416,False,-0.2578650495205122,0.08359641339103531,0.303036998542503,False
Dwell_c_a_MO,-0.19021674609033187,0.20543932786583907,0.41201789526381416,False,-0.04724505472820843,0.7552022088654634,0.8368759251669776,False
pctFirstFixa_aEY,-0.12489122576493393,0.40824431706505343,0.6497079082423628,False,-0.32893883109139765,0.025608742014031866,0.17154155873534208,False
pctFirstFixa_aMO,-0.16990364525714408,0.25895661464414454,0.469358864042512,False,-0.10939691609061838,0.4692357305794239,0.6978377531693997,False
pctFirstFixa_aBG,0.2785268690081246,0.06088180708463143,0.23540965406057485,False,0.33775992870271565,0.021694253802687902,0.17154155873534208,False
pctFirstFixc_aEY,-0.12325292163487449,0.4144688380166798,0.6497079082423628,False,-0.04674361371067225,0.7577213633885704,0.8368759251669776,False
pctFirstFixc_aMO,-0.09398182896685922,0.5344343579234034,0.7208649478966836,False,-0.0772551356344,0.6098317326346225,0.8368759251669776,False
pctFirstFixc_aBG,0.4672171708808068,0.0010620472021809053,0.015383164512975842,True,0.28668492735318435,0.05340367013353996,0.22124377626752267,False
pctFirstFixa_dEY,-0.20121246825906636,0.1799551002012959,0.41201789526381416,False,-0.22989236042407224,0.12430230516420615,0.34481247926917286,False
pctFirstFixa_dMO,-0.260115538390824,0.08084056393935216,0.26686158589155495,False,-0.02945037542837651,0.8459510085219278,0.853286568948579,False
