Feature,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED
Calm_Direct_FinalMax,-0.11342959778847624,0.44776322800529295,0.9326887523006685,False
Calm_Avert_FinalMax,-0.06622516387648733,0.6582885219151295,0.9326887523006685,False
Angry_Direct_FinalMax,-0.1400119509416467,0.3479047518935857,0.9326887523006685,False
Angry_Avert_FinalMax,-0.07280288450053583,0.6267418982914571,0.9326887523006685,False
Dwell_a_d_BG,0.16906252822327011,0.2559461637559778,0.9326887523006685,False
Dwell_a_d_EY,-0.251182552067638,0.08855398800625507,0.9326887523006685,False
Dwell_a_d_MO,0.15451968128009316,0.299711183209173,0.9326887523006685,False
Dwell_a_a_BG,0.17949906599741255,0.22732360572490584,0.9326887523006685,False
Dwell_a_a_EY,-0.2657728826113799,0.07097914342051638,0.9326887523006685,False
Dwell_a_a_MO,0.012846326784015724,0.9317033641280372,0.9924233159116108,False
Dwell_c_d_BG,0.1068286450502143,0.47478935928529886,0.9326887523006685,False
Dwell_c_d_EY,-0.15857084362241475,0.287062691197855,0.9326887523006685,False
Dwell_c_d_MO,0.09150310864302731,0.5407315641866468,0.9326887523006685,False
Dwell_c_a_BG,0.1414439876551052,0.34294668813456236,0.9326887523006685,False
Dwell_c_a_EY,-0.22390122324184897,0.13029565486081618,0.9326887523006685,False
Dwell_c_a_MO,0.04087626750266227,0.7850057748092579,0.957293551498874,False
pctFirstFixa_aEY,-0.06047721659502509,0.6863477294971806,0.9326887523006685,False
pctFirstFixa_aMO,-0.010324345061433657,0.9450883353328661,0.9924233159116108,False
pctFirstFixa_aBG,0.19283268916810317,0.19407312388643497,0.9326887523006685,False
pctFirstFixc_aEY,0.08432141435280739,0.5730826355720109,0.9326887523006685,False
pctFirstFixc_aMO,0.06694650649806248,0.654798852342391,0.9326887523006685,False
pctFirstFixc_aBG,0.1373392684094386,0.3572753098567291,0.9326887523006685,False
pctFirstFixa_dEY,-0.0760829575143258,0.6112493901571204,0.9326887523006685,False
pctFirstFixa_dMO,0.17499669472662344,0.23938852376792916,0.9326887523006685,False
pctFirstFixa_dBG,0.19048086876706552,0.19967199786681944,0.9326887523006685,False
pctFirstFixc_dEY,-0.09518959992375084,0.5244752387399874,0.9326887523006685,False
pctFirstFixc_dMO,-0.03081439534772489,0.8370931789711429,0.98734067263263,False
pctFirstFixc_dBG,0.14112824194416926,0.34403611009093965,0.9326887523006685,False
meanRT-a_a,-0.005364248250291087,0.9714534858569841,0.9924233159116108,False
meanRT-c_a,-0.013878706645121605,0.9262293605491423,0.9924233159116108,False
meanRT-a_d,0.001423481137210145,0.9924233159116108,0.9924233159116108,False
meanRT-c_d,0.011087399678809236,0.941036808894221,0.9924233159116108,False
msTotal.a_a,-0.12196330661144214,0.414112223901559,0.9326887523006685,False
msTotal.a_c,-0.17791878080601486,0.23150960330221906,0.9326887523006685,False
msTotal.d_a,-0.12088702504675805,0.4182748178097804,0.9326887523006685,False
msTotal.d_c,-0.04159817405692686,0.7813013340785179,0.957293551498874,False
pctOffscreen.a_a,0.0917998473650601,0.5394140868669047,0.9326887523006685,False
pctOffscreen.a_c,0.21428331278448073,0.14807745038857154,0.9326887523006685,False
pctOffscreen.d_a,0.03974744295313443,0.7908077164555916,0.957293551498874,False
pctOffscreen.d_c,-0.08014502639755222,0.5922944523090455,0.9326887523006685,False
pctOnBackground.a_a,0.056702687066531574,0.7050063217882381,0.9326887523006685,False
pctOnBackground.a_c,0.11661148160151848,0.4350440292263307,0.9326887523006685,False
pctOnBackground.d_a,0.006301052936810252,0.9664707888057616,0.9924233159116108,False
pctOnBackground.d_c,-0.05576787681786229,0.7096544854461608,0.9326887523006685,False
pctSamplesOffscreenL,0.06735655488338468,0.6528183814713305,0.9326887523006685,False
pctSamplesOffscreenR,0.09895113044369097,0.5081412600806178,0.9326887523006685,False
