Feature,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED
Calm_Direct_FinalMax,-0.0335808316954137,0.8226931342902726,0.970356004547501,False
Calm_Avert_FinalMax,-0.007400090337015504,0.9606268307662875,0.9979603684142386,False
Angry_Direct_FinalMax,-0.028060230680488844,0.8514819317955569,0.9792042215648904,False
Angry_Avert_FinalMax,0.00278618506849819,0.9851707369406123,0.9979603684142386,False
Dwell_a_d_BG,0.363350537843135,0.012060035547717533,0.0924602725325011,True
Dwell_a_d_EY,-0.3687230291296449,0.010762059140753977,0.0924602725325011,True
Dwell_a_d_MO,0.2229931665439536,0.1319026194117779,0.23336617280545321,False
Dwell_a_a_BG,0.36542516604468084,0.01154374980114573,0.0924602725325011,True
Dwell_a_a_EY,-0.406129727740023,0.004618363653957563,0.07081490936068263,True
Dwell_a_a_MO,0.16793478938834894,0.25917765298182366,0.3725678761613715,False
Dwell_c_d_BG,0.33403918888546236,0.021747807204307308,0.1275634132720969,False
Dwell_c_d_EY,-0.2775555653254804,0.0589071137455253,0.19068783558463906,False
Dwell_c_d_MO,0.24750592610848338,0.0934771679254538,0.21535049478846094,False
Dwell_c_a_BG,0.23634348031094,0.10972951846184287,0.21535049478846094,False
Dwell_c_a_EY,-0.3195529504305469,0.02855933740686011,0.1313729520715565,False
Dwell_c_a_MO,0.23555257040148875,0.11095811246699731,0.21535049478846094,False
pctFirstFixa_aEY,-0.4274519351203165,0.002728133075116823,0.07081490936068263,True
pctFirstFixa_aMO,0.2745567729931351,0.06181082522302748,0.19068783558463906,False
pctFirstFixa_aBG,0.3080140553742502,0.03517958189092114,0.14711461518021565,False
pctFirstFixc_aEY,-0.15667510793173556,0.2929375194681884,0.3850035970153333,False
pctFirstFixc_aMO,0.19301376227811462,0.19364671559929153,0.28734673927636806,False
pctFirstFixc_aBG,0.2665082827829975,0.07017247198695394,0.19068783558463906,False
pctFirstFixa_dEY,-0.3267997352045222,0.024958059118453738,0.1275634132720969,False
pctFirstFixa_dMO,0.2662348135092405,0.07047159141171443,0.19068783558463906,False
pctFirstFixa_dBG,0.41027374375436787,0.004180136098950063,0.07081490936068263,True
pctFirstFixc_dEY,-0.2703212130718845,0.06610585672994536,0.19068783558463906,False
pctFirstFixc_dMO,0.2942458082456665,0.044684116654051725,0.1712891138405316,False
pctFirstFixc_dBG,0.33120483735864614,0.022960670357480322,0.1275634132720969,False
meanRT-a_a,-0.23442528462236784,0.112727329593018,0.21535049478846094,False
meanRT-c_a,-0.24326188182316738,0.09942102235167065,0.21535049478846094,False
meanRT-a_d,-0.20808113984564697,0.16045712033802345,0.26360812626960994,False
meanRT-c_d,-0.23173378711428316,0.11703831238503311,0.21535049478846094,False
msTotal.a_a,-0.21011388286709967,0.15631921091237996,0.26360812626960994,False
msTotal.a_c,-0.24902239931097708,0.09142144531194674,0.21535049478846094,False
msTotal.d_a,-0.05161153708326485,0.7304456305779448,0.8842236580680384,False
msTotal.d_c,-0.15983873445274627,0.28317672310616593,0.3850035970153333,False
pctOffscreen.a_a,0.0005013017285685761,0.9973317151543074,0.9979603684142386,False
pctOffscreen.a_c,-0.020466877438379924,0.8913867075540441,0.9979603684142386,False
pctOffscreen.d_a,-0.11535802622126097,0.44003034133747454,0.5622609917089952,False
pctOffscreen.d_c,-0.08162346849720235,0.5854608629589639,0.7278702620570903,False
pctOnBackground.a_a,0.2414578034851025,0.10203418687776838,0.21535049478846094,False
pctOnBackground.a_c,0.19832545921549385,0.18143256221758938,0.2781965954003037,False
pctOnBackground.d_a,0.15818764206422578,0.28824397961660814,0.3850035970153333,False
pctOnBackground.d_c,0.19906684189388824,0.17977273525820295,0.2781965954003037,False
pctSamplesOffscreenL,-0.00038319374925045724,0.9979603684142386,0.9979603684142386,False
pctSamplesOffscreenR,-0.012973848231628296,0.9310270310860699,0.9979603684142386,False
