Feature,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED
Dwell_a_d_BG,0.363350537843135,0.012060035547717533,0.06432018958782684,True
Dwell_a_d_EY,-0.3687230291296449,0.010762059140753977,0.06432018958782684,True
Dwell_a_a_BG,0.36542516604468084,0.01154374980114573,0.06432018958782684,True
Dwell_a_a_EY,-0.406129727740023,0.004618363653957563,0.049262545642214,True
Dwell_c_d_BG,0.33403918888546236,0.021747807204307308,0.08873976575450218,True
Dwell_c_a_EY,-0.3195529504305469,0.02855933740686011,0.09138987970195235,True
pctFirstFixa_aEY,-0.4274519351203165,0.002728133075116823,0.049262545642214,True
pctFirstFixa_dEY,-0.3267997352045222,0.024958059118453738,0.08873976575450218,True
pctFirstFixa_dBG,0.41027374375436787,0.004180136098950063,0.049262545642214,True
pctFirstFixc_dBG,0.33120483735864614,0.022960670357480322,0.08873976575450218,True
