Feature_1,Feature_2,r,p_uncorrected,p_fdr,significant
Dwell_a_d_BG,Dwell_a_d_EY,-0.56349817376728,3.722680102847116e-05,5.584020154270674e-05,True
Dwell_a_d_BG,Dwell_a_a_BG,0.9590086380223655,2.796991839339762e-26,1.2586463277028927e-24,True
Dwell_a_d_BG,Dwell_a_a_EY,-0.5948862744437722,1.0347945570840022e-05,2.0245980464687002e-05,True
Dwell_a_d_BG,Dwell_c_d_BG,0.9466587903255879,9.19600038497494e-24,2.0691000866193615e-22,True
Dwell_a_d_BG,Dwell_c_a_EY,-0.5145879452348258,0.00021518517437452058,0.00025482454860140596,True
Dwell_a_d_BG,pctFirstFixa_aEY,-0.5160690370285511,0.00020483935511611404,0.0002491289454114901,True
Dwell_a_d_BG,pctFirstFixa_dEY,-0.517914206145677,0.00019258235752525095,0.00024072794690656367,True
Dwell_a_d_BG,pctFirstFixa_dBG,0.8862789519067331,1.203410346253047e-16,7.736209368769587e-16,True
Dwell_a_d_BG,pctFirstFixc_dBG,0.8450647572833696,8.054632929235788e-14,3.624584818156105e-13,True
Dwell_a_d_EY,Dwell_a_a_BG,-0.5651039003275932,3.4976418849362087e-05,5.4273753386941164e-05,True
Dwell_a_d_EY,Dwell_a_a_EY,0.9388309708923825,1.8437771946060616e-22,2.7656657919090923e-21,True
Dwell_a_d_EY,Dwell_c_d_BG,-0.5549648779206738,5.157538501463598e-05,7.486749437608449e-05,True
Dwell_a_d_EY,Dwell_c_a_EY,0.9035234242911678,3.584913675725283e-18,3.226422308152755e-17,True
Dwell_a_d_EY,pctFirstFixa_aEY,0.6710655524190219,2.442404676588104e-07,5.784642655077088e-07,True
Dwell_a_d_EY,pctFirstFixa_dEY,0.8234565271734101,1.1948237854330626e-12,3.840505024606272e-12,True
Dwell_a_d_EY,pctFirstFixa_dBG,-0.5758507221060896,2.2848298291695044e-05,3.808049715282507e-05,True
Dwell_a_d_EY,pctFirstFixc_dBG,-0.6140795140584867,4.41625129641179e-06,9.463395635168121e-06,True
Dwell_a_a_BG,Dwell_a_a_EY,-0.5769275516767027,2.1875857481256667e-05,3.786206102525193e-05,True
Dwell_a_a_BG,Dwell_c_d_BG,0.9161317549797681,1.756817552500724e-19,1.9764197465633145e-18,True
Dwell_a_a_BG,Dwell_c_a_EY,-0.4878472764605024,0.000504480076310825,0.0005159455325906165,True
Dwell_a_a_BG,pctFirstFixa_aEY,-0.502690792880891,0.0003171019511692094,0.00033185087913056795,True
Dwell_a_a_BG,pctFirstFixa_dEY,-0.5186267062256589,0.0001880303457717012,0.00024072794690656367,True
Dwell_a_a_BG,pctFirstFixa_dBG,0.8427482573779926,1.0962546137093007e-13,4.4846779651744123e-13,True
Dwell_a_a_BG,pctFirstFixc_dBG,0.8334987115919097,3.5789217566478517e-13,1.3420956587429445e-12,True
Dwell_a_a_EY,Dwell_c_d_BG,-0.5901657081860381,1.2653111158820156e-05,2.372458342278779e-05,True
Dwell_a_a_EY,Dwell_c_a_EY,0.8995003845124849,8.606971812643035e-18,6.455228859482276e-17,True
Dwell_a_a_EY,pctFirstFixa_aEY,0.6843139492816301,1.1362771177141711e-07,2.840692794285428e-07,True
Dwell_a_a_EY,pctFirstFixa_dEY,0.7401891792573145,2.750787641098039e-09,7.2814966970242206e-09,True
Dwell_a_a_EY,pctFirstFixa_dBG,-0.5870793186156551,1.4406733957398515e-05,2.5932121123317327e-05,True
Dwell_a_a_EY,pctFirstFixc_dBG,-0.6045171260536172,6.7968216829367155e-06,1.3902589806006918e-05,True
Dwell_c_d_BG,Dwell_c_a_EY,-0.5109647467407534,0.00024252093366081926,0.00027283605036842166,True
Dwell_c_d_BG,pctFirstFixa_aEY,-0.47161025035013177,0.0008188846302946999,0.0008188846302946999,True
Dwell_c_d_BG,pctFirstFixa_dEY,-0.5083025229728417,0.0002645710624363653,0.00028346899546753424,True
Dwell_c_d_BG,pctFirstFixa_dBG,0.824207718964674,1.0946854018643916e-12,3.789295621838279e-12,True
Dwell_c_d_BG,pctFirstFixc_dBG,0.862607810244872,6.54427373641437e-15,3.681153976733083e-14,True
Dwell_c_a_EY,pctFirstFixa_aEY,0.6634096641838587,3.7353481426570267e-07,8.404533320978311e-07,True
Dwell_c_a_EY,pctFirstFixa_dEY,0.8085041003802066,6.291373073452508e-12,1.8874119220357524e-11,True
Dwell_c_a_EY,pctFirstFixa_dBG,-0.5376518674204327,9.730242681354219e-05,0.00012878262372380584,True
Dwell_c_a_EY,pctFirstFixc_dBG,-0.5485813985856228,6.54421341087653e-05,9.20280010904512e-05,True
pctFirstFixa_aEY,pctFirstFixa_dEY,0.799454103883378,1.6052005023986615e-11,4.5146264129962355e-11,True
pctFirstFixa_aEY,pctFirstFixa_dBG,-0.5096521632030165,0.0002531754233014248,0.00027787546459912476,True
pctFirstFixa_aEY,pctFirstFixc_dBG,-0.51343290215707,0.00022357980195336855,0.0002579766945615791,True
pctFirstFixa_dEY,pctFirstFixa_dBG,-0.5686304734175489,3.046519365535786e-05,4.896191837468227e-05,True
pctFirstFixa_dEY,pctFirstFixc_dBG,-0.5476641778810817,6.76931512508794e-05,9.230884261483556e-05,True
pctFirstFixa_dBG,pctFirstFixc_dBG,0.8467389306144941,6.425911147112014e-14,3.2129555735560066e-13,True
