Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Dwell_c_a_EY,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_aBG,pctFirstFixc_aBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixa_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctFirstFixc_dBG,meanRT-c_a,ID
3459.6,41261.0,289.1,26104.3,179.6,41818.5,0.0,25104.5,12.5,0.0,0.0,0.0,27.778,2.778,5.556,16.667,0.0,2.778,0.713,23046
3762.1,44822.2,1442.0,20477.8,7632.5,35981.2,0.0,20401.0,41.667,4.167,25.0,16.667,47.222,0.0,11.111,33.333,0.0,8.333,0.862,24010
13413.4,8394.6,5730.7,4837.3,19810.4,8337.5,0.0,9970.7,16.667,0.0,16.667,25.0,2.778,0.0,25.0,22.222,0.0,19.444,0.686,24198
2614.8,4954.0,3133.4,4652.0,6083.1,5658.0,0.0,5507.5,33.333,0.0,12.5,20.833,19.444,0.0,2.778,11.111,0.0,19.444,0.678,24243
338.0,33492.0,1733.8,25214.9,2171.2,28328.4,1808.7,17947.3,37.5,4.167,0.0,8.333,30.556,2.778,5.556,13.889,0.0,19.444,0.792,24250
7321.6,10704.4,4997.7,6514.2,5199.5,11287.2,5691.4,4866.6,20.833,4.167,29.167,12.5,13.889,16.667,19.444,16.667,5.556,2.778,0.656,24007
11225.8,27355.2,8637.7,16244.7,14441.7,32381.7,0.0,21569.5,41.667,0.0,20.833,12.5,38.889,0.0,19.444,38.889,0.0,30.556,0.868,23698
2829.9,12417.6,2089.4,13732.4,6992.8,28886.9,552.0,10816.3,45.833,0.0,4.167,25.0,27.778,0.0,8.333,38.889,0.0,11.111,0.628,24141
905.9,28400.7,2212.5,23932.5,5461.8,33791.7,0.0,20050.0,16.667,0.0,8.333,12.5,11.111,0.0,5.556,16.667,0.0,8.333,0.467,22878
9750.7,2421.8,5421.1,4192.3,14468.4,1181.4,4144.1,3929.4,4.167,16.667,8.333,25.0,2.778,2.778,19.444,2.778,2.778,27.778,0.627,24179
2769.7,25156.3,1265.6,12436.2,964.1,27274.0,694.0,15019.4,33.333,8.333,16.667,12.5,38.889,11.111,5.556,61.111,2.778,2.778,0.674,23558
5473.8,21506.5,3517.5,14808.2,3736.9,30848.1,0.0,19241.6,41.667,4.167,8.333,8.333,36.111,2.778,22.222,30.556,0.0,11.111,0.595,24011
846.2,44486.9,2413.8,24604.2,2638.2,45268.8,0.0,33053.4,50.0,0.0,0.0,0.0,66.667,0.0,2.778,69.444,0.0,2.778,0.948,23885
