,ARI_6_P,Angry_Avert_FinalMax,Angry_Direct_FinalMax,Calm_Avert_FinalMax,Calm_Direct_FinalMax,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_a_a_MO,Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_d_MO,Dwell_c_a_BG,Dwell_c_a_EY,Dwell_c_a_MO,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Fix_a_a_BG,Fix_a_a_EY,Fix_a_a_MO,Fix_a_d_BG,Fix_a_d_EY,Fix_a_d_MO,Fix_c_a_BG,Fix_c_a_EY,Fix_c_a_MO,Fix_c_d_BG,Fix_c_d_EY,Fix_c_d_MO,SCARED_P,meanRT-a_a,meanRT-a_d,meanRT-c_a,meanRT-c_d,msTotal.a_a,msTotal.a_c,msTotal.d_a,msTotal.d_c,pctFirstFixa_aBG,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_dBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixc_aBG,pctFirstFixc_aEY,pctFirstFixc_aMO,pctFirstFixc_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctOffscreen.a_a,pctOffscreen.a_c,pctOffscreen.d_a,pctOffscreen.d_c,pctOnBackground.a_a,pctOnBackground.a_c,pctOnBackground.d_a,pctOnBackground.d_c,pctSamplesOffscreenL,pctSamplesOffscreenR
ARI_6_P,,0.7105718800594782,0.762588368906856,0.7191987613943458,0.7174928030905524,0.03786320892465923,0.0736699681351661,0.6805097118966081,0.04331004600907288,0.02218773562471135,0.9572599674523139,0.036065399172334096,0.21353043464389804,0.8420667357756951,0.11235474092656636,0.3904922986740645,0.789485490605693,0.05527444651545954,0.1264011137442405,0.819912939415883,0.08115245928178381,0.10566346800382215,0.8014962550248024,0.045840133377394864,0.3677139612738504,0.9112503204885093,0.12702848883176737,0.449533178581555,0.8971496922081779,0.0014268712578451282,0.6735544506633695,0.762588368906856,0.762588368906856,0.7982468688416815,0.8014962550248024,0.3506557216697526,0.7191987613943458,0.8947434940438662,0.2763070942855717,0.2578497527258097,0.3009377348953742,0.05105980152294176,0.16677556202939753,0.9323955826438609,0.01029086555756951,0.31826958579397663,0.938791681757445,0.017737420230970306,0.2820210523189988,0.815077623351368,0.16793491950775544,0.19794119472977112,0.2996528031178506,0.20069473547312444,0.9968500041879834,0.8420667357756951,0.8189095527240294,0.9148798345243813,0.5084111139350703,0.3456803589829747
Angry_Avert_FinalMax,0.7105718800594782,,1.0087150965019679e-39,9.21733358398282e-42,4.971601481025793e-42,0.8048797988603967,0.837025478329747,0.2905724497931887,0.8336693005346726,0.5778931850622605,0.23799891590026004,0.7932304397155979,0.5240841921927901,0.7658650610280775,0.7556388802693401,0.5865565471538757,0.25107005817398453,0.7556388802693401,0.623840347099165,0.2536056520352376,0.7191987613943458,0.39605653779046945,0.2578497527258097,0.7608536115367969,0.46577963258121335,0.3860747537960718,0.6191291691212041,0.48024844363166413,0.35242300461697457,0.8351684508787682,0.3114404705182531,0.35787617576343445,0.29761216672167834,0.3847459050917241,0.33744296050801875,0.793287677484882,0.875264824295577,0.8918539227697148,0.46692203281132477,0.8836622970419743,0.3911150065638339,0.6736711029721927,0.7199068724599769,0.6805097118966081,0.6730699574987576,0.8918539227697148,0.3933232303051961,0.3044420515783864,0.9203887008039628,0.43251035188438136,0.7451333469267869,0.22873113496710215,0.1874221712228945,0.8014962550248024,0.33744296050801875,0.153722332352986,0.14017401513008243,0.31267603612102346,0.9603751932366414,0.9693113461012156
Angry_Direct_FinalMax,0.762588368906856,1.0087150965019679e-39,,2.9487252410412108e-37,2.0856048079447715e-43,0.8744530691787846,0.8971496922081779,0.30493964940435475,0.8860826427872611,0.7014985788925588,0.25817420115531703,0.8336693005346726,0.686838166328126,0.6946620019318271,0.8420667357756951,0.6612018596094908,0.2718317490944311,0.8696902001893124,0.653350144382526,0.29564079946673744,0.8336693005346726,0.4538169265689448,0.2610571765532424,0.8458017055690872,0.5219868762716917,0.36020132637231034,0.8014962550248024,0.47469321246031315,0.35529534685200354,0.7369851650831918,0.35003177240360833,0.4018242679347875,0.33989932907241677,0.397362770353026,0.2625920650424952,0.762588368906856,0.8145756844522853,0.8748767840148362,0.5792453036247093,0.9663038385288367,0.4244714713029906,0.8006207215884475,0.8458017055690872,0.7095056448380365,0.7088613811087081,0.8828467628534492,0.4018242679347875,0.40947702281739545,0.9359511002437404,0.426886210039893,0.8925626676057461,0.39021937506782345,0.34463586984040784,0.9258464914614324,0.3978657735325367,0.1998700543999263,0.203752574795014,0.3544746178912642,0.8275390990282492,0.8351684508787682
Calm_Avert_FinalMax,0.7191987613943458,9.21733358398282e-42,2.9487252410412108e-37,,4.971601481025793e-42,0.9007691068569094,0.9783429956297192,0.31267603612102346,0.9255578726798509,0.793287677484882,0.31826958579397663,0.8953378735768639,0.7033561967629194,0.7119504944897815,0.8788617078782969,0.7162712355257888,0.35991546930068435,0.8772442248973067,0.7539418760893994,0.32889995179001835,0.8199320971561976,0.5590652380149834,0.33200960477795083,0.9018500424498772,0.5597382669049722,0.3928459014790143,0.8014962550248024,0.570652039474253,0.46524913755804886,0.7992199089369582,0.45523145009678584,0.5153199102783506,0.43293786721700545,0.5213374117387453,0.40140558035466817,0.7431072888808306,0.7923501707665126,0.9705854534041007,0.5486448712830392,0.9255578726798509,0.45744081400809944,0.7936390877099179,0.840194517770141,0.7915621954514149,0.8420667357756951,0.9240710342608299,0.39605653779046945,0.47347365541722697,0.973235227398807,0.4991062756207922,0.9284218518434281,0.43081485977899675,0.36384281814775893,0.9282674520290581,0.47364500670467957,0.2881503094295113,0.2627978597326074,0.4216602194112761,0.8487243052246011,0.8458017055690872
Calm_Direct_FinalMax,0.7174928030905524,4.971601481025793e-42,2.0856048079447715e-43,4.971601481025793e-42,,0.7191987613943458,0.8624525832862185,0.15616249242034,0.7740381039460823,0.6672509449306925,0.17947283366217814,0.7014985788925588,0.6372097288496601,0.48453999077715953,0.7036606551536964,0.6261633250521413,0.20692928445388237,0.7369851650831918,0.6564205078755825,0.16858807798200143,0.7114500317755726,0.45878666095848,0.19564862595970658,0.7744627675675456,0.5206499946531987,0.23555912244136798,0.6592591807770698,0.501112414731546,0.28948375105641366,0.7441828807758362,0.3552058607083085,0.4018242679347875,0.3078168968843383,0.39181761201532606,0.3544746178912642,0.7680827664451,0.9289471226895034,0.9240710342608299,0.405458042019724,0.9193262639888822,0.31010115800192983,0.6584544701487165,0.819912939415883,0.5527895255720708,0.6256313249711972,0.8918539227697148,0.2578497527258097,0.3078168968843383,0.9705854534041007,0.3644925347834171,0.8199320971561976,0.3544746178912642,0.3296726834656413,0.837025478329747,0.236326410307671,0.11870526912310218,0.1102510964987219,0.21813163269300212,0.8947434940438662,0.8822514107216146
Dwell_a_a_BG,0.03786320892465923,0.8048797988603967,0.8744530691787846,0.9007691068569094,0.7191987613943458,,7.681927334960005e-06,0.2578497527258097,5.846310538398768e-26,2.17276461765108e-05,0.39181761201532606,5.669414471355291e-20,0.0003482326073876324,0.4866944955693831,3.8350167949317025e-23,0.0006829666174349972,0.4533365219505186,9.127691722577991e-25,0.00017630982522130403,0.1675079296107471,1.2359558809994115e-14,0.00024774543369962185,0.26971954543434296,7.341200022598399e-10,0.0009089451626413387,0.3114404705182531,1.0218382641671317e-12,0.00465605289372311,0.44198023520537094,0.031021653113081922,0.8144910614671422,0.995607242708129,0.8310259982519398,0.9993615298440159,0.07745840718180906,0.2581588418994622,0.7626164308030203,0.8351684508787682,2.892288367136739e-12,0.0006305659262526171,0.29920497674241414,1.4091107297847188e-13,0.0002451727633247987,0.3078168968843383,4.0238298353097787e-10,0.007977010938041068,0.3529044591034734,8.060990717853064e-15,0.01517140822420136,0.587764398808745,0.8420667357756951,0.8014962550248024,0.5651249291604452,0.815077623351368,5.015623774958681e-08,1.1791322549393432e-06,4.2351383597636555e-06,2.3267104494781067e-06,0.8351684508787682,0.8699095737914769
Dwell_a_a_EY,0.0736699681351661,0.837025478329747,0.8971496922081779,0.9783429956297192,0.8624525832862185,7.681927334960005e-06,,0.6227465035292531,3.935515812388345e-06,1.8679951870708702e-25,0.3904922986740645,3.30915015457986e-05,1.653697832145715e-20,0.25717130226565604,6.944299884031245e-06,2.9834675965791253e-19,0.4018242679347875,3.7818710339443918e-06,7.422565341678008e-18,0.9192047962347447,3.949566626276332e-05,1.3613363671439798e-15,0.8169063024400174,9.861992906644941e-05,8.06721277292601e-11,0.44009956030059655,1.1295389360192668e-05,2.3244492440440457e-10,0.6749592542281974,0.006915154872586455,0.014260137230072351,0.024100791129276048,0.00815771117235836,0.020727939669443626,0.010204912448865037,0.020059784929151597,0.3663447352419651,0.8472004732121613,5.14595199647678e-05,7.85113261180924e-07,0.28781832097291316,4.770033948587231e-05,2.687177327366724e-09,0.24135924054213628,3.920648162009704e-06,7.625745390982895e-05,0.7300296280209136,1.1488731830166938e-05,3.163180224790753e-05,0.2482965411664761,0.25817420115531703,0.4827235318816791,0.6332014908744656,0.35571310794115274,0.0003188549327832612,0.0018086645050044382,0.004634201738318033,0.00026878880341977613,0.5139949335166701,0.48410095298084316
Dwell_a_a_MO,0.6805097118966081,0.2905724497931887,0.30493964940435475,0.31267603612102346,0.15616249242034,0.2578497527258097,0.6227465035292531,,0.33798463202632023,0.6757329859112455,4.854465669406901e-15,0.21293188407079025,0.30378044485436645,1.6627310095947832e-10,0.2970608087640236,0.18972968465351744,1.1902184280440247e-10,0.3093435431363004,0.9832297735060274,8.897941291980659e-20,0.3544746178912642,0.9783429956297192,2.2409289696172003e-14,0.2603042609791806,0.708092550835249,6.763369428892975e-13,0.3294137487744054,0.5559952129102076,1.7488513180097568e-10,0.7014985788925588,0.3114404705182531,0.3560555642960327,0.5486496772753293,0.5134478505978226,0.13539870723301972,0.8827392171243158,0.6219145079978777,0.7551089352365356,0.23117504990753898,0.5558116373881279,6.302041021510516e-11,0.5394988264614475,0.578834046114662,1.4325170910116537e-07,0.2820210523189988,0.5206499946531987,3.4458141073475616e-12,0.5139949335166701,0.1427956673429778,3.614332848176486e-06,0.9018500424498772,0.8420667357756951,0.7992199089369582,0.789665185811233,0.48170458944736017,0.6350852401665239,0.6232108365250176,0.8339328000901478,0.8145756844522853,0.7935207958318126
Dwell_a_d_BG,0.04331004600907288,0.8336693005346726,0.8860826427872611,0.9255578726798509,0.7740381039460823,5.846310538398768e-26,3.935515812388345e-06,0.33798463202632023,,1.2000764621060153e-05,0.48453999077715953,1.1473806150874619e-26,7.516019221096632e-05,0.5875694060160922,6.959108824324593e-26,0.00023125755134246735,0.6208651532932191,2.716859576484945e-22,6.632861107697416e-05,0.27545528693338056,6.951122816515974e-25,0.00013083989116381112,0.3449081412387184,6.432011609489324e-14,0.0003860814222975434,0.3913967688729877,2.6635600589147246e-16,0.0015431023248332959,0.5684805773914002,0.019779123534089657,0.8420667357756951,0.9956197732297062,0.8203378547501816,0.9956197732297062,0.03786320892465923,0.17808386845446153,0.8199320971561976,0.5099768465096782,4.807990413715186e-10,0.00041669332922904885,0.449088041079645,2.602640756967961e-18,0.00019391437960541692,0.3949548170081678,2.2606922347261136e-11,0.001801114413287528,0.38022995479085736,1.5944290504241243e-15,0.0069522222730501555,0.7920198637717224,0.9576577671583799,0.8339328000901478,0.6124291458575886,0.9240710342608299,6.092777842498009e-07,4.069339441948336e-06,1.4596173133064302e-05,1.130922013842866e-05,0.9752387879141233,0.959610385632818
Dwell_a_d_EY,0.02218773562471135,0.5778931850622605,0.7014985788925588,0.793287677484882,0.6672509449306925,2.17276461765108e-05,1.8679951870708702e-25,0.6757329859112455,1.2000764621060153e-05,,0.4059130906752702,0.00010772667665645648,1.1804453595951169e-21,0.2820210523189988,3.4568270331100893e-05,3.3168983457902596e-20,0.3913873067079457,1.2842750394590724e-05,1.4851238188982051e-15,0.8827392171243158,5.8797323274923886e-05,5.669414471355291e-20,0.8062724518775051,0.0002645616151998465,2.1128974879909828e-12,0.513370721786632,3.6429779043068546e-05,7.79032080306756e-12,0.6486722291173926,0.012448974568196351,0.013626942720977881,0.014823844735304294,0.002647760552955058,0.010758515746855052,0.03360721018862523,0.02464360104296252,0.15012191770111352,0.8759071693415532,0.0001735404628981981,6.387945043166877e-07,0.33744296050801875,5.850611378631943e-05,2.623365644792358e-13,0.33989932907241677,5.817630431470827e-06,6.371634769399399e-06,0.815077623351368,5.172510460242371e-06,1.8348522799046405e-06,0.3076400157451284,0.29761216672167834,0.31826958579397663,0.31010115800192983,0.20692928445388237,0.0008116923597519039,0.0012524292005525364,0.001505154436384175,0.00023545662027396909,0.3370412245561567,0.33744296050801875
