Feature_1,Feature_2,p_fdr
Calm_Direct_FinalMax,Calm_Avert_FinalMax,4.971601481025793e-42
Calm_Direct_FinalMax,Angry_Direct_FinalMax,2.0856048079447715e-43
Calm_Direct_FinalMax,Angry_Avert_FinalMax,4.971601481025793e-42
Calm_Direct_FinalMax,Fix_a_d_BG,0.7114500317755726
Calm_Direct_FinalMax,Fix_a_d_EY,0.45878666095848
Calm_Direct_FinalMax,Fix_a_d_MO,0.19564862595970658
Calm_Direct_FinalMax,Fix_a_a_BG,0.7369851650831918
Calm_Direct_FinalMax,Fix_a_a_EY,0.6564205078755825
Calm_Direct_FinalMax,Fix_a_a_MO,0.16858807798200143
Calm_Direct_FinalMax,Fix_c_d_BG,0.6592591807770698
Calm_Direct_FinalMax,Fix_c_d_EY,0.501112414731546
Calm_Direct_FinalMax,Fix_c_d_MO,0.28948375105641366
Calm_Direct_FinalMax,Fix_c_a_BG,0.7744627675675456
Calm_Direct_FinalMax,Fix_c_a_EY,0.5206499946531987
Calm_Direct_FinalMax,Fix_c_a_MO,0.23555912244136798
Calm_Direct_FinalMax,Dwell_a_d_BG,0.7740381039460823
Calm_Direct_FinalMax,Dwell_a_d_EY,0.6672509449306925
Calm_Direct_FinalMax,Dwell_a_d_MO,0.17947283366217814
Calm_Direct_FinalMax,Dwell_a_a_BG,0.7191987613943458
Calm_Direct_FinalMax,Dwell_a_a_EY,0.8624525832862185
Calm_Direct_FinalMax,Dwell_a_a_MO,0.15616249242034
Calm_Direct_FinalMax,Dwell_c_d_BG,0.7036606551536964
Calm_Direct_FinalMax,Dwell_c_d_EY,0.6261633250521413
Calm_Direct_FinalMax,Dwell_c_d_MO,0.20692928445388237
Calm_Direct_FinalMax,Dwell_c_a_BG,0.7014985788925588
Calm_Direct_FinalMax,Dwell_c_a_EY,0.6372097288496601
Calm_Direct_FinalMax,Dwell_c_a_MO,0.48453999077715953
Calm_Direct_FinalMax,pctFirstFixa_aEY,0.9193262639888822
Calm_Direct_FinalMax,pctFirstFixa_aMO,0.31010115800192983
Calm_Direct_FinalMax,pctFirstFixa_aBG,0.405458042019724
Calm_Direct_FinalMax,pctFirstFixc_aEY,0.8918539227697148
Calm_Direct_FinalMax,pctFirstFixc_aMO,0.2578497527258097
Calm_Direct_FinalMax,pctFirstFixc_aBG,0.6256313249711972
Calm_Direct_FinalMax,pctFirstFixa_dEY,0.819912939415883
Calm_Direct_FinalMax,pctFirstFixa_dMO,0.5527895255720708
Calm_Direct_FinalMax,pctFirstFixa_dBG,0.6584544701487165
Calm_Direct_FinalMax,pctFirstFixc_dEY,0.9705854534041007
Calm_Direct_FinalMax,pctFirstFixc_dMO,0.3644925347834171
Calm_Direct_FinalMax,pctFirstFixc_dBG,0.3078168968843383
Calm_Direct_FinalMax,meanRT-a_a,0.3552058607083085
Calm_Direct_FinalMax,meanRT-c_a,0.3078168968843383
Calm_Direct_FinalMax,meanRT-a_d,0.4018242679347875
Calm_Direct_FinalMax,meanRT-c_d,0.39181761201532606
Calm_Direct_FinalMax,msTotal.a_a,0.3544746178912642
Calm_Direct_FinalMax,msTotal.a_c,0.7680827664451
Calm_Direct_FinalMax,msTotal.d_a,0.9289471226895034
Calm_Direct_FinalMax,msTotal.d_c,0.9240710342608299
Calm_Direct_FinalMax,pctOffscreen.a_a,0.8199320971561976
Calm_Direct_FinalMax,pctOffscreen.a_c,0.3544746178912642
Calm_Direct_FinalMax,pctOffscreen.d_a,0.3296726834656413
Calm_Direct_FinalMax,pctOffscreen.d_c,0.837025478329747
Calm_Direct_FinalMax,pctOnBackground.a_a,0.236326410307671
Calm_Direct_FinalMax,pctOnBackground.a_c,0.11870526912310218
Calm_Direct_FinalMax,pctOnBackground.d_a,0.1102510964987219
Calm_Direct_FinalMax,pctOnBackground.d_c,0.21813163269300212
Calm_Direct_FinalMax,pctSamplesOffscreenL,0.8947434940438662
Calm_Direct_FinalMax,pctSamplesOffscreenR,0.8822514107216146
Calm_Direct_FinalMax,ARI_6_P,0.7174928030905524
Calm_Direct_FinalMax,SCARED_P,0.7441828807758362
Calm_Avert_FinalMax,Angry_Direct_FinalMax,2.9487252410412108e-37
Calm_Avert_FinalMax,Angry_Avert_FinalMax,9.21733358398282e-42
Calm_Avert_FinalMax,Fix_a_d_BG,0.8199320971561976
Calm_Avert_FinalMax,Fix_a_d_EY,0.5590652380149834
Calm_Avert_FinalMax,Fix_a_d_MO,0.33200960477795083
Calm_Avert_FinalMax,Fix_a_a_BG,0.8772442248973067
Calm_Avert_FinalMax,Fix_a_a_EY,0.7539418760893994
Calm_Avert_FinalMax,Fix_a_a_MO,0.32889995179001835
Calm_Avert_FinalMax,Fix_c_d_BG,0.8014962550248024
Calm_Avert_FinalMax,Fix_c_d_EY,0.570652039474253
Calm_Avert_FinalMax,Fix_c_d_MO,0.46524913755804886
Calm_Avert_FinalMax,Fix_c_a_BG,0.9018500424498772
Calm_Avert_FinalMax,Fix_c_a_EY,0.5597382669049722
Calm_Avert_FinalMax,Fix_c_a_MO,0.3928459014790143
Calm_Avert_FinalMax,Dwell_a_d_BG,0.9255578726798509
Calm_Avert_FinalMax,Dwell_a_d_EY,0.793287677484882
Calm_Avert_FinalMax,Dwell_a_d_MO,0.31826958579397663
Calm_Avert_FinalMax,Dwell_a_a_BG,0.9007691068569094
Calm_Avert_FinalMax,Dwell_a_a_EY,0.9783429956297192
Calm_Avert_FinalMax,Dwell_a_a_MO,0.31267603612102346
Calm_Avert_FinalMax,Dwell_c_d_BG,0.8788617078782969
Calm_Avert_FinalMax,Dwell_c_d_EY,0.7162712355257888
Calm_Avert_FinalMax,Dwell_c_d_MO,0.35991546930068435
Calm_Avert_FinalMax,Dwell_c_a_BG,0.8953378735768639
Calm_Avert_FinalMax,Dwell_c_a_EY,0.7033561967629194
Calm_Avert_FinalMax,Dwell_c_a_MO,0.7119504944897815
Calm_Avert_FinalMax,pctFirstFixa_aEY,0.9255578726798509
Calm_Avert_FinalMax,pctFirstFixa_aMO,0.45744081400809944
Calm_Avert_FinalMax,pctFirstFixa_aBG,0.5486448712830392
Calm_Avert_FinalMax,pctFirstFixc_aEY,0.9240710342608299
Calm_Avert_FinalMax,pctFirstFixc_aMO,0.39605653779046945
Calm_Avert_FinalMax,pctFirstFixc_aBG,0.8420667357756951
Calm_Avert_FinalMax,pctFirstFixa_dEY,0.840194517770141
Calm_Avert_FinalMax,pctFirstFixa_dMO,0.7915621954514149
Calm_Avert_FinalMax,pctFirstFixa_dBG,0.7936390877099179
Calm_Avert_FinalMax,pctFirstFixc_dEY,0.973235227398807
Calm_Avert_FinalMax,pctFirstFixc_dMO,0.4991062756207922
Calm_Avert_FinalMax,pctFirstFixc_dBG,0.47347365541722697
Calm_Avert_FinalMax,meanRT-a_a,0.45523145009678584
Calm_Avert_FinalMax,meanRT-c_a,0.43293786721700545
Calm_Avert_FinalMax,meanRT-a_d,0.5153199102783506
Calm_Avert_FinalMax,meanRT-c_d,0.5213374117387453
Calm_Avert_FinalMax,msTotal.a_a,0.40140558035466817
Calm_Avert_FinalMax,msTotal.a_c,0.7431072888808306
Calm_Avert_FinalMax,msTotal.d_a,0.7923501707665126
Calm_Avert_FinalMax,msTotal.d_c,0.9705854534041007
Calm_Avert_FinalMax,pctOffscreen.a_a,0.9284218518434281
Calm_Avert_FinalMax,pctOffscreen.a_c,0.43081485977899675
Calm_Avert_FinalMax,pctOffscreen.d_a,0.36384281814775893
Calm_Avert_FinalMax,pctOffscreen.d_c,0.9282674520290581
Calm_Avert_FinalMax,pctOnBackground.a_a,0.47364500670467957
Calm_Avert_FinalMax,pctOnBackground.a_c,0.2881503094295113
Calm_Avert_FinalMax,pctOnBackground.d_a,0.2627978597326074
Calm_Avert_FinalMax,pctOnBackground.d_c,0.4216602194112761
Calm_Avert_FinalMax,pctSamplesOffscreenL,0.8487243052246011
Calm_Avert_FinalMax,pctSamplesOffscreenR,0.8458017055690872
Calm_Avert_FinalMax,ARI_6_P,0.7191987613943458
Calm_Avert_FinalMax,SCARED_P,0.7992199089369582
Angry_Direct_FinalMax,Angry_Avert_FinalMax,1.0087150965019679e-39
Angry_Direct_FinalMax,Fix_a_d_BG,0.8336693005346726
Angry_Direct_FinalMax,Fix_a_d_EY,0.4538169265689448
Angry_Direct_FinalMax,Fix_a_d_MO,0.2610571765532424
Angry_Direct_FinalMax,Fix_a_a_BG,0.8696902001893124
Angry_Direct_FinalMax,Fix_a_a_EY,0.653350144382526
Angry_Direct_FinalMax,Fix_a_a_MO,0.29564079946673744
Angry_Direct_FinalMax,Fix_c_d_BG,0.8014962550248024
Angry_Direct_FinalMax,Fix_c_d_EY,0.47469321246031315
Angry_Direct_FinalMax,Fix_c_d_MO,0.35529534685200354
Angry_Direct_FinalMax,Fix_c_a_BG,0.8458017055690872
Angry_Direct_FinalMax,Fix_c_a_EY,0.5219868762716917
Angry_Direct_FinalMax,Fix_c_a_MO,0.36020132637231034
Angry_Direct_FinalMax,Dwell_a_d_BG,0.8860826427872611
Angry_Direct_FinalMax,Dwell_a_d_EY,0.7014985788925588
Angry_Direct_FinalMax,Dwell_a_d_MO,0.25817420115531703
Angry_Direct_FinalMax,Dwell_a_a_BG,0.8744530691787846
Angry_Direct_FinalMax,Dwell_a_a_EY,0.8971496922081779
Angry_Direct_FinalMax,Dwell_a_a_MO,0.30493964940435475
Angry_Direct_FinalMax,Dwell_c_d_BG,0.8420667357756951
Angry_Direct_FinalMax,Dwell_c_d_EY,0.6612018596094908
Angry_Direct_FinalMax,Dwell_c_d_MO,0.2718317490944311
Angry_Direct_FinalMax,Dwell_c_a_BG,0.8336693005346726
Angry_Direct_FinalMax,Dwell_c_a_EY,0.686838166328126
Angry_Direct_FinalMax,Dwell_c_a_MO,0.6946620019318271
Angry_Direct_FinalMax,pctFirstFixa_aEY,0.9663038385288367
Angry_Direct_FinalMax,pctFirstFixa_aMO,0.4244714713029906
Angry_Direct_FinalMax,pctFirstFixa_aBG,0.5792453036247093
Angry_Direct_FinalMax,pctFirstFixc_aEY,0.8828467628534492
Angry_Direct_FinalMax,pctFirstFixc_aMO,0.4018242679347875
Angry_Direct_FinalMax,pctFirstFixc_aBG,0.7088613811087081
Angry_Direct_FinalMax,pctFirstFixa_dEY,0.8458017055690872
