Feature_1,r,p_fdr
Fix_a_d_BG,0.2965049465053005,0.06897212014823433
Fix_a_d_EY,-0.3521463993979306,0.022187812746384313
Fix_a_a_BG,0.3008204963010099,0.06416248804042053
Fix_a_a_EY,-0.3981279582073263,0.007295653292287824
Fix_c_a_EY,-0.29687545619957806,0.06865558630099891
Dwell_a_d_BG,0.35778599547286655,0.019779123534089657
Dwell_a_d_EY,-0.37700393844585633,0.012448974568196351
Dwell_a_a_BG,0.33704844290927516,0.031021653113081922
Dwell_a_a_EY,-0.40033414379574195,0.006915154872586455
Dwell_c_d_BG,0.3149165638650361,0.04895524776422413
Dwell_c_a_EY,-0.3250182012036057,0.03970077540261628
pctFirstFixa_aEY,-0.39551611728149216,0.007818643489896939
pctFirstFixc_aBG,0.2840543113730702,0.08701352284156874
pctFirstFixa_dEY,-0.3099775599373767,0.0537232909825069
pctFirstFixa_dBG,0.3589474007172649,0.01930909883034985
pctFirstFixc_dBG,0.29813747807272056,0.06716917072295375
meanRT-c_a,-0.29382936376435204,0.06654306046913219
ARI_6_P,0.44745353614029165,0.0014268712578451282
SCARED_P,1.0,0.0
