alpha,log_alpha,R2_train,R2_loocv
0.0001,-4.0,0.29674402201752853,-0.22162779194321014
0.00026366508987303583,-3.5789473684210527,0.2967440219266273,-0.22160652285224502
0.0006951927961775605,-3.1578947368421053,0.29674402129486593,-0.22155045999746315
0.0018329807108324356,-2.736842105263158,0.29674401690614033,-0.22140275511339413
0.004832930238571752,-2.3157894736842106,0.29674398645513717,-0.2210140944043062
0.012742749857031334,-1.8947368421052633,0.29674377583676853,-0.2199947544980525
0.03359818286283781,-1.473684210526316,0.29674233093318925,-0.21734412564226835
0.08858667904100823,-1.0526315789473686,0.29673262161976866,-0.21060079302538304
0.23357214690901212,-0.6315789473684212,0.296670519482623,-0.19433723056797314
0.615848211066026,-0.21052631578947392,0.29631225475571954,-0.15945962633421873
1.623776739188721,0.21052631578947348,0.29457670312252343,-0.09911016279130114
4.281332398719396,0.6315789473684212,0.2880343138650441,-0.02251227848817816
11.288378916846883,1.0526315789473681,0.2708968234115785,0.04451788532871381
29.763514416313132,1.473684210526315,0.24276409296554724,0.08499935998702546
78.47599703514607,1.8947368421052628,0.2114700428053205,0.10338887649197848
206.913808111479,2.3157894736842106,0.1776395182938976,0.10317192815122633
545.5594781168514,2.7368421052631575,0.13126949686450662,0.07761927431860138
1438.44988828766,3.1578947368421044,0.07726161440848611,0.03483701807371731
3792.690190732246,3.578947368421052,0.03675223168208855,-0.00045177599140311386
10000.0,4.0,0.015390153145105862,-0.01962683735184867
