Feature_1,Feature_2,p_fdr
Calm_Avert_FinalMax,pctFirstFixa_dEY,0.853920829116405
Calm_Avert_FinalMax,pctFirstFixa_dMO,0.7978016245467041
Calm_Avert_FinalMax,pctFirstFixa_dBG,0.7931304544003809
Calm_Avert_FinalMax,pctFirstFixc_dEY,0.9736479798678747
Calm_Avert_FinalMax,pctFirstFixc_dMO,0.522494473402897
Calm_Avert_FinalMax,pctFirstFixc_dBG,0.47600712588153227
Calm_Avert_FinalMax,meanRT-a_a,0.46993573886815354
Calm_Avert_FinalMax,meanRT-c_a,0.4458790453162919
Calm_Avert_FinalMax,meanRT-a_d,0.5336645303186822
Calm_Avert_FinalMax,meanRT-c_d,0.5404188635526037
Calm_Avert_FinalMax,msTotal.a_a,0.4151174207819009
Calm_Avert_FinalMax,msTotal.a_c,0.722017073121779
Calm_Avert_FinalMax,msTotal.d_a,0.7945601677390767
Calm_Avert_FinalMax,msTotal.d_c,0.9630826602971929
Calm_Avert_FinalMax,pctOffscreen.a_a,0.9276100748313404
Calm_Avert_FinalMax,pctOffscreen.a_c,0.4343313891376316
Calm_Avert_FinalMax,pctOffscreen.d_a,0.3865775126797788
Calm_Avert_FinalMax,pctOffscreen.d_c,0.9276100748313404
Calm_Avert_FinalMax,pctOnBackground.a_a,0.48252977174312983
Calm_Avert_FinalMax,pctOnBackground.a_c,0.29418677886849115
Calm_Avert_FinalMax,pctOnBackground.d_a,0.2837669598981363
Calm_Avert_FinalMax,pctOnBackground.d_c,0.43219933919509407
Calm_Avert_FinalMax,pctSamplesOffscreenL,0.8675245125748013
Calm_Avert_FinalMax,pctSamplesOffscreenR,0.8584107916143494
Calm_Avert_FinalMax,ARI_6_P,0.7251330210222614
Calm_Avert_FinalMax,SCARED_P,0.8145084651594132
Angry_Direct_FinalMax,Angry_Avert_FinalMax,1.4446718144373593e-38
Angry_Direct_FinalMax,Fix_a_d_BG,0.8277894250085974
Angry_Direct_FinalMax,Fix_a_d_EY,0.46993573886815354
Angry_Direct_FinalMax,Fix_a_d_MO,0.28188305729601015
Angry_Direct_FinalMax,Fix_a_a_BG,0.8688208045634063
Angry_Direct_FinalMax,Fix_a_a_EY,0.6661843421008969
Angry_Direct_FinalMax,Fix_a_a_MO,0.3064019717170016
Angry_Direct_FinalMax,Fix_c_d_BG,0.7965412939228417
Angry_Direct_FinalMax,Fix_c_d_EY,0.49349403908178924
Angry_Direct_FinalMax,Fix_c_d_MO,0.3764905866344537
Angry_Direct_FinalMax,Fix_c_a_BG,0.8470882265719889
Angry_Direct_FinalMax,Fix_c_a_EY,0.5538815220315683
Angry_Direct_FinalMax,Fix_c_a_MO,0.38185634204927743
Angry_Direct_FinalMax,Dwell_a_d_BG,0.8794854881188165
Angry_Direct_FinalMax,Dwell_a_d_EY,0.7049955652887959
Angry_Direct_FinalMax,Dwell_a_d_MO,0.28157255852961854
Angry_Direct_FinalMax,Dwell_a_a_BG,0.8682198541590124
Angry_Direct_FinalMax,Dwell_a_a_EY,0.8930476484111436
Angry_Direct_FinalMax,Dwell_a_a_MO,0.3178639548789101
Angry_Direct_FinalMax,Dwell_c_d_BG,0.8424038085683792
Angry_Direct_FinalMax,Dwell_c_d_EY,0.6629611668710573
Angry_Direct_FinalMax,Dwell_c_d_MO,0.2939016717607265
