,Calm_Direct_FinalMax,Calm_Avert_FinalMax,Angry_Direct_FinalMax,Angry_Avert_FinalMax,Fix_a_d_BG,Fix_a_d_EY,Fix_a_d_MO,Fix_a_a_BG,Fix_a_a_EY,Fix_a_a_MO,Fix_c_d_BG,Fix_c_d_EY,Fix_c_d_MO,Fix_c_a_BG,Fix_c_a_EY,Fix_c_a_MO,Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_d_MO,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_a_a_MO,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Dwell_c_a_BG,Dwell_c_a_EY,Dwell_c_a_MO,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_aBG,pctFirstFixc_aEY,pctFirstFixc_aMO,pctFirstFixc_aBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixa_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctFirstFixc_dBG,meanRT-a_a,meanRT-c_a,meanRT-a_d,meanRT-c_d,msTotal.a_a,msTotal.a_c,msTotal.d_a,msTotal.d_c,pctOffscreen.a_a,pctOffscreen.a_c,pctOffscreen.d_a,pctOffscreen.d_c,pctOnBackground.a_a,pctOnBackground.a_c,pctOnBackground.d_a,pctOnBackground.d_c,pctSamplesOffscreenL,pctSamplesOffscreenR,ARI_6_P,SCARED_P
Calm_Direct_FinalMax,1.0,0.9826682408754885,0.9847626120991244,0.9829556391019021,0.08964835822429293,-0.1436475352313147,-0.23075324403547343,0.08203937005216691,-0.09598915727551585,-0.24490790093450707,0.10408904172402406,-0.13194871556731586,-0.19462448023328938,0.07301752820754213,-0.12315833231166616,-0.2131946196477564,0.07342159404389967,-0.09672359321815047,-0.2350772954769574,0.08855984875274771,-0.04374632214542135,-0.2491269813244091,0.09311146169263843,-0.10705456153082181,-0.2231796833906296,0.0910193767338708,-0.09909370673496604,-0.13447859769970877,-0.019913632475210642,-0.2000502181252498,0.16308052285135055,-0.022761807290349732,-0.20436850599090325,0.11252368741837399,-0.04887876683020591,-0.11918369609468038,0.10184154840616612,-0.006071257940823178,-0.16783564420535127,0.1975905093810057,-0.16910159976886774,-0.1883691694824931,-0.153753053208184,-0.1572393098356109,-0.17594431778701752,-0.0810282548306326,0.019602509936670218,0.01910301183414418,0.0554609851496086,0.1778059809072666,0.17907916142090638,0.050273002393771526,0.21988262107319917,0.270016151188383,0.2687434607417425,0.22544505712004706,-0.024260567730409875,-0.030392995090420143,-0.08216087553327053,-0.06815692710862535
Calm_Avert_FinalMax,0.9826682408754888,0.9999999999999998,0.9737062462209285,0.9821751028876704,0.054700957103434325,-0.118859904338969,-0.18123634296841284,0.03671288993642259,-0.07202962496963387,-0.18436382017671332,0.061916407575391935,-0.11621061865859014,-0.14056807644272143,0.030696973794504347,-0.11606056111924154,-0.1601904648811264,0.023104450083199154,-0.06299871718624832,-0.185221440898115,0.0308179896555097,-0.007960503721780202,-0.18889274884854332,0.03769397044904998,-0.08486912883424408,-0.16970405969608204,0.03190031826021854,-0.08456114641388578,-0.08222473932212698,-0.018028800438252623,-0.14978394794271838,0.12467189632354857,-0.015177936712285827,-0.15797205446498933,0.048178013223113304,-0.04281426889921721,-0.06171153390363894,0.06369223424930007,-0.006487609558088608,-0.1324684097697545,0.1438112229510051,-0.14247770372675114,-0.1487695714378697,-0.12680700213312274,-0.12527406566993624,-0.16015425947279377,-0.0831408608054395,0.06328822511484422,-0.009921108102729425,0.020861909081941903,0.154202009443547,0.16852310920459962,0.020853634170936518,0.14221173396632755,0.2011475752740735,0.20530030310497308,0.1548215110476862,-0.03922505706621994,-0.04158624732583484,-0.08057182645866448,-0.055276490075657
Angry_Direct_FinalMax,0.9847626120991245,0.9737062462209284,1.0,0.9788875365582894,0.05193660175903962,-0.14508185951901817,-0.20622400391132562,0.038614983076485844,-0.09704419868754309,-0.19693374353828444,0.0625383375369568,-0.13969121724756917,-0.17189323724128303,0.04630056753934341,-0.12473837957111669,-0.1700947650984411,0.035382663897057874,-0.08791374233971443,-0.20645756544774416,0.03879088391172348,-0.03150646722407448,-0.19243940615519542,0.04782854231448613,-0.09792803318320786,-0.2016573520152297,0.05106876589755239,-0.08792239013520214,-0.0865559058285283,-0.006965946506087745,-0.15835820099464937,0.11773176591079233,-0.02785777833138841,-0.1557730703121851,0.08912814187531616,-0.039892945459945324,-0.08325422528613886,0.06162213101671023,-0.016177488213784685,-0.1509895321855338,0.1597601037115754,-0.17305823525593483,-0.1771987282267224,-0.15544842323375987,-0.15726638712417293,-0.2079551758437759,-0.07741965955249877,0.05548240057635093,0.034434016223647446,0.03234297414641137,0.16609658185378304,0.17614717221540352,0.021607898089607048,0.16172401345189455,0.23235276103974237,0.2268088876767622,0.17553206443440958,-0.047511238054530607,-0.04641637646085715,-0.0692086396201301,-0.07272434959120413
Angry_Avert_FinalMax,0.9829556391019021,0.9821751028876704,0.9788875365582894,0.9999999999999998,0.08363772883091604,-0.15790106449445865,-0.2048475527578673,0.07194252360448573,-0.1011493436683722,-0.2085007133633141,0.10835017313980926,-0.1384323748522588,-0.17294478108501316,0.074029853189623,-0.13432075417035372,-0.16319743302924614,0.05106562035112493,-0.1160771198801143,-0.21234130960007766,0.05863530714285286,-0.04887509421527708,-0.19430963390454511,0.07405383870008038,-0.11588273213110956,-0.20852659684907324,0.06342279209192864,-0.12369409700570787,-0.06828216353778077,-0.02770691310403607,-0.16625160399607253,0.14273478637154036,-0.02046741610478472,-0.15673292991412593,0.0945738184489614,-0.07221923875702789,-0.08879884701829668,0.0933716391906539,-0.0212119123314241,-0.14885478351006884,0.19389895264155618,-0.18876216651702277,-0.19483024860709727,-0.17171719584156114,-0.16415920693847003,-0.18242231135873735,-0.06761458001579779,0.036862079273475123,0.028174232969463125,0.075768824535723,0.2240954159275966,0.23246834188620893,0.05896873685159143,0.18090346565907656,0.253444735883436,0.2526892659067138,0.18926412943052898,0.014486359974269732,0.009735785539547393,-0.07998818714344647,-0.0439890462209502
Fix_a_d_BG,0.08964835822429293,0.05470095710343434,0.051936601759039636,0.08363772883091604,1.0,-0.44716470338257785,-0.15711578302696427,0.8913024701944261,-0.45951072059093984,-0.16538621213978433,0.9312594082978786,-0.3831262288440402,-0.09433179834690013,0.9178044055800703,-0.42005598385252535,-0.1836991740407414,0.9313342646394823,-0.5409252671144066,-0.1385242092687059,0.8258590013075338,-0.5474759789493152,-0.1707252325601352,0.8937678333221546,-0.4773030637706722,-0.09397614873835174,0.9153882423762887,-0.4947024558799138,-0.14532470448479987,-0.45403452554058427,-0.1257090215268233,0.6889088725990511,-0.39912937235113083,-0.1896682057472089,0.7635581002885418,-0.454912013961019,-0.16062134853759316,0.8816307093008656,-0.3781067538340564,-0.08677885447087139,0.8738818434149273,0.016560950376991262,0.004187341801507682,0.05094489219215969,0.04738110897714527,-0.3456653771065029,-0.21758261448024496,-0.03774212478412519,0.13632926479026636,0.14024233379912035,0.054766450703477805,0.012459478266171027,0.07092314448441135,0.5839131262026729,0.5798428368245971,0.5497236976393436,0.5127283649615016,0.1362182821210805,0.1489607918758949,0.2995081179477441,0.28993570233278426
Fix_a_d_EY,-0.14364753523131468,-0.118859904338969,-0.14508185951901814,-0.15790106449445865,-0.44716470338257774,1.0,0.08633739202995469,-0.44965021265799293,0.9513010705203347,0.11842485825152416,-0.449537600520884,0.9056670056908506,0.026794097010863556,-0.40385037452183453,0.8934950618696964,-0.04005441641132247,-0.523652366900413,0.8955643808624887,-0.06443076636931701,-0.5047283352079478,0.8450208569474864,-0.004483973711734576,-0.5077960452455624,0.8021247110401092,-0.07804800832628253,-0.47940818017838804,0.8323121656124227,-0.16208361346899927,0.720183467964495,-0.14598121137965905,-0.45570460539297597,0.6878330070102312,0.0036434563467776376,-0.5435446395422089,0.8752021209587955,-0.11850907522319337,-0.46934593284411025,0.6709648631858451,-0.1922529931842907,-0.4933178335597961,0.4878468893559286,0.47932853220328336,0.48671693089496193,0.4890475021595487,0.45481595764856936,0.32839801627765536,0.1920437518403373,-0.0024627069023181562,-0.07326879283751525,-0.06592672135625396,-0.08998970665450096,-0.11472575296760362,-0.39612510962195135,-0.39162411202535646,-0.38963444262199537,-0.4384603049673362,-0.04444377932781258,-0.037492112253304066,-0.2867217151789071,-0.35335102561547094
Fix_a_d_MO,-0.23075324403547345,-0.18123634296841287,-0.20622400391132567,-0.2048475527578673,-0.1571157830269643,0.08633739202995472,0.9999999999999999,-0.13891638687973074,0.08599596352753885,0.8806224405832851,-0.20102125212332334,-0.08324267778814913,0.8887223226554851,-0.2126081321919615,-0.04726204550853889,0.8538747916934875,-0.17720060188254977,-0.06031800637562625,0.9441585000954756,-0.20138055626078316,-0.05766222049462974,0.8214667258303473,-0.22906023590894917,-0.2393585054457899,0.8621280549964613,-0.24242027815903164,-0.16098105442613164,0.7451729166246951,-0.10932687285899205,0.6572659714823885,-0.1396209109892111,-0.08882897547728236,0.724182409331822,-0.241257383064321,-0.07477739091748897,0.8203892210550113,-0.09114159746562145,-0.26124535544923394,0.6616398288859345,-0.19025883264960722,0.3237138989685778,0.2508008234908849,0.322780599394266,0.27560070696395417,0.31640396556660616,-0.04488455543859463,0.04417048446626477,-0.17207780106880358,0.14901273509110738,0.14806590548594978,0.10993218707328428,0.22859464966284107,-0.03310201669742359,-0.057800640866970364,-0.06809046824353056,0.026744096545337385,0.1841370642242301,0.1961327285309906,-0.07042513760837765,0.10538937540051667
Fix_a_a_BG,0.08203937005216692,0.03671288993642262,0.03861498307648587,0.07194252360448575,0.8913024701944261,-0.44965021265799293,-0.13891638687973076,1.0,-0.47509533163014006,-0.1835516414526617,0.8717053013706494,-0.3829569173549568,-0.11271369680628603,0.8219429975205595,-0.4370682262599912,-0.15988037216348328,0.9145695016330306,-0.5753121956899211,-0.12181575248458189,0.9302919195336032,-0.5969528052633466,-0.18098014724653114,0.8957777718315577,-0.5083595142595433,-0.11727540950358854,0.89505697899868,-0.5202821197656323,-0.11885570031444177,-0.47889965450123306,-0.17860460940312897,0.8083960538209238,-0.38006609746940667,-0.1411285313798834,0.7549165305840492,-0.47657126313968895,-0.1504420710638516,0.831430923841399,-0.3927220442325005,-0.12641682454302533,0.8481260045229535,0.029831274289049907,0.04549076495071746,0.0946820124653171,0.09887279272907183,-0.3162658221120456,-0.19221576761143433,-0.010692170685516877,0.11529979215825559,0.05474925290535186,0.018060847124971184,-0.017785537146397298,-0.023209676561835268,0.6640922415168583,0.6215045865377333,0.600403979138262,0.5671152161379935,0.03902145129702901,0.06009950720464221,0.3286481957142245,0.29428120774338623
Fix_a_a_EY,-0.09598915727551584,-0.0720296249696339,-0.0970441986875431,-0.1011493436683722,-0.45951072059093984,0.9513010705203347,0.08599596352753888,-0.47509533163014006,1.0,0.138124692828195,-0.4613006693946306,0.8869532455436397,0.04103593812638651,-0.42363102729329954,0.8913826592517062,-0.043572087075242336,-0.54059857606175,0.8424237625249189,-0.07431141050930071,-0.5155611334771609,0.8748714142908542,-0.004176998663428522,-0.5284961859628667,0.7767463124183377,-0.07880061790205634,-0.4912879019530132,0.8139816765577441,-0.17842090351264878,0.751019430019352,-0.16345361642336093,-0.49525005466033273,0.6612063111678306,0.008722116731826511,-0.5556859990982663,0.7951468822496353,-0.15438494022677604,-0.4750517327508259,0.6366332450729971,-0.19523581904166154,-0.4745725591792595,0.47790640537568113,0.435580122417724,0.4611858746381094,0.4621542287166719,0.46568586045963845,0.3158806562345164,0.12101266711819586,0.0497229616466669,-0.08120736518005005,-0.010967131641784311,-0.02843704494228612,-0.051840076698999135,-0.4028143032852049,-0.35982117314302003,-0.35077704405817756,-0.4013616126082924,0.0032186899802376205,0.011984333720984692,-0.273605168346404,-0.40002160095740535
Fix_a_a_MO,-0.24490790093450707,-0.18436382017671335,-0.19693374353828447,-0.20850071336331413,-0.16538621213978433,0.11842485825152414,0.8806224405832851,-0.18355164145266173,0.13812469282819495,1.0,-0.19925388329965557,-0.004110028079688504,0.8741468354976922,-0.20436507831302572,0.027288798670016493,0.8235453487795278,-0.19720205562210763,-0.039138562996426485,0.7923762529519034,-0.23484845642292637,-0.03184903111801112,0.8909935595202425,-0.22505010617635254,-0.18663268663686247,0.8070826913943735,-0.24388976672921728,-0.10046501090548361,0.678940398741241,-0.039776356896788385,0.7666645362410531,-0.20393301049673632,-0.09190012968494551,0.721300265769672,-0.20547951580873325,-0.050027615314858345,0.6982049929187554,-0.11626736767294685,-0.18957122141497948,0.6149154869977346,-0.1798489823992938,0.2645978462109125,0.18018276492152807,0.2462813916012318,0.2207684496546244,0.34717585643349025,-0.08482708958986487,0.09709835350700206,-0.06491808747492067,0.06088556378075692,0.045197532147279486,0.10163554618228021,0.11310006756187954,-0.1325177930105264,-0.13463809945319466,-0.10509688366166327,-0.05593337367596307,0.10691728593433944,0.12070963674363874,0.03838348609393897,0.027543859845914134
